Timestamp, APAddress, DeviceAddress, WifiStrength(dBm) 
1521735360530, 64:f6:9d:43:20:d0, 02:00:00:00:00:00, -49
1521735360531, 64:f6:9d:43:20:d4, 02:00:00:00:00:00, -50
1521735360532, 64:f6:9d:43:20:d5, 02:00:00:00:00:00, -50
1521735360532, 64:f6:9d:43:20:d3, 02:00:00:00:00:00, -50
1521735360533, 64:f6:9d:37:a9:95, 02:00:00:00:00:00, -51
1521735360533, 64:f6:9d:37:a9:94, 02:00:00:00:00:00, -51
1521735360536, 64:f6:9d:37:a9:92, 02:00:00:00:00:00, -51
1521735360538, 64:f6:9d:37:a9:90, 02:00:00:00:00:00, -51
1521735360541, 64:f6:9d:37:a9:96, 02:00:00:00:00:00, -51
1521735360542, 64:f6:9d:43:1b:b5, 02:00:00:00:00:00, -61
1521735360543, 64:f6:9d:43:1b:b4, 02:00:00:00:00:00, -61
1521735360543, 64:f6:9d:43:20:da, 02:00:00:00:00:00, -61
1521735360547, 64:f6:9d:43:20:df, 02:00:00:00:00:00, -61
1521735360550, 64:f6:9d:43:1b:b0, 02:00:00:00:00:00, -62
1521735360551, 64:f6:9d:37:a9:9d, 02:00:00:00:00:00, -62
1521735360551, 64:f6:9d:43:20:db, 02:00:00:00:00:00, -62
1521735360552, 64:f6:9d:43:1b:b2, 02:00:00:00:00:00, -62
1521735360555, 64:f6:9d:36:82:10, 02:00:00:00:00:00, -63
1521735360557, 64:f6:9d:37:a9:9f, 02:00:00:00:00:00, -63
1521735360558, 64:f6:9d:37:a9:9b, 02:00:00:00:00:00, -63
1521735360559, 64:f6:9d:37:a9:99, 02:00:00:00:00:00, -63
1521735360560, 64:f6:9d:37:a9:9c, 02:00:00:00:00:00, -63
1521735360560, 64:f6:9d:37:a9:9a, 02:00:00:00:00:00, -63
1521735360561, 64:f6:9d:36:82:14, 02:00:00:00:00:00, -64
1521735360562, 64:f6:9d:36:82:15, 02:00:00:00:00:00, -64
1521735360563, 64:f6:9d:3a:94:03, 02:00:00:00:00:00, -65
1521735360566, 64:f6:9d:3a:94:00, 02:00:00:00:00:00, -65
1521735360570, 64:f6:9d:3a:94:05, 02:00:00:00:00:00, -65
1521735360571, 64:f6:9d:3a:94:04, 02:00:00:00:00:00, -65
1521735360573, e8:65:49:a0:60:55, 02:00:00:00:00:00, -69
1521735360574, 64:f6:9d:48:ab:34, 02:00:00:00:00:00, -71
1521735360576, 64:f6:9d:48:ab:35, 02:00:00:00:00:00, -71
1521735360577, 64:f6:9d:48:ab:30, 02:00:00:00:00:00, -71
1521735360578, 64:f6:9d:37:a7:15, 02:00:00:00:00:00, -71
1521735360579, 64:f6:9d:37:a7:13, 02:00:00:00:00:00, -71
1521735360580, 64:f6:9d:37:a7:14, 02:00:00:00:00:00, -71
1521735360581, 64:f6:9d:37:a7:10, 02:00:00:00:00:00, -71
1521735360582, 64:f6:9d:37:a7:16, 02:00:00:00:00:00, -71
1521735360583, 64:f6:9d:48:ab:33, 02:00:00:00:00:00, -71
1521735360584, 64:f6:9d:37:a5:70, 02:00:00:00:00:00, -72
1521735360585, 64:f6:9d:37:a5:74, 02:00:00:00:00:00, -73
1521735360586, 64:f6:9d:37:a5:75, 02:00:00:00:00:00, -73
1521735360587, 64:f6:9d:3a:8f:f5, 02:00:00:00:00:00, -73
1521735360589, 64:f6:9d:37:a5:72, 02:00:00:00:00:00, -73
1521735360590, 64:f6:9d:3a:8f:f4, 02:00:00:00:00:00, -74
1521735360591, 64:f6:9d:3a:8f:f2, 02:00:00:00:00:00, -74
1521735360592, 64:f6:9d:3a:8f:f0, 02:00:00:00:00:00, -74
1521735360594, 64:f6:9d:3a:8f:f6, 02:00:00:00:00:00, -74
1521735360595, 64:f6:9d:36:85:b0, 02:00:00:00:00:00, -76
1521735360596, 64:f6:9d:36:85:b5, 02:00:00:00:00:00, -76
1521735360598, 64:f6:9d:36:82:1b, 02:00:00:00:00:00, -76
1521735360599, 64:f6:9d:36:82:1a, 02:00:00:00:00:00, -76
1521735360600, 64:f6:9d:36:82:1f, 02:00:00:00:00:00, -76
1521735360601, 64:f6:9d:37:9d:e4, 02:00:00:00:00:00, -77
1521735360602, 64:f6:9d:37:9d:e5, 02:00:00:00:00:00, -77
1521735360604, 64:f6:9d:37:9d:e3, 02:00:00:00:00:00, -77
1521735360606, 64:f6:9d:37:9d:e0, 02:00:00:00:00:00, -77
1521735360608, 64:f6:9d:37:a7:1a, 02:00:00:00:00:00, -78
