Timestamp, APAddress, DeviceAddress, WifiStrength(dBm) 
1521713701009, 64:f6:9d:43:1b:b0, 02:00:00:00:00:00, -49
1521713701010, 64:f6:9d:43:1b:b4, 02:00:00:00:00:00, -49
1521713701010, 64:f6:9d:43:1b:b5, 02:00:00:00:00:00, -49
1521713701011, 64:f6:9d:43:1b:b3, 02:00:00:00:00:00, -50
1521713701011, 64:f6:9d:36:82:14, 02:00:00:00:00:00, -51
1521713701012, 64:f6:9d:36:82:15, 02:00:00:00:00:00, -51
1521713701012, 64:f6:9d:36:82:12, 02:00:00:00:00:00, -51
1521713701013, 64:f6:9d:36:82:16, 02:00:00:00:00:00, -51
1521713701013, 64:f6:9d:36:82:10, 02:00:00:00:00:00, -55
1521713701014, 64:f6:9d:3a:94:04, 02:00:00:00:00:00, -56
1521713701014, 64:f6:9d:3a:94:05, 02:00:00:00:00:00, -57
1521713701014, 64:f6:9d:3a:94:00, 02:00:00:00:00:00, -58
1521713701015, 64:f6:9d:3a:94:03, 02:00:00:00:00:00, -58
1521713701015, 64:f6:9d:36:82:1b, 02:00:00:00:00:00, -60
1521713701016, 64:f6:9d:37:a7:10, 02:00:00:00:00:00, -60
1521713701016, 64:f6:9d:37:a7:14, 02:00:00:00:00:00, -60
1521713701016, 64:f6:9d:43:20:d0, 02:00:00:00:00:00, -60
1521713701017, 64:f6:9d:37:a7:12, 02:00:00:00:00:00, -60
1521713701017, 64:f6:9d:43:20:d4, 02:00:00:00:00:00, -61
1521713701018, 64:f6:9d:43:20:d5, 02:00:00:00:00:00, -61
1521713701018, 64:f6:9d:36:82:1f, 02:00:00:00:00:00, -61
1521713701018, 64:f6:9d:36:82:1a, 02:00:00:00:00:00, -61
1521713701019, 64:f6:9d:43:1b:bb, 02:00:00:00:00:00, -61
1521713701020, 64:f6:9d:37:a7:16, 02:00:00:00:00:00, -61
1521713701020, 64:f6:9d:43:20:d2, 02:00:00:00:00:00, -61
1521713701021, 64:f6:9d:43:20:d6, 02:00:00:00:00:00, -61
1521713701022, 64:f6:9d:43:1b:bf, 02:00:00:00:00:00, -62
1521713701022, 64:f6:9d:43:1b:ba, 02:00:00:00:00:00, -62
1521713701023, 64:f6:9d:36:82:1d, 02:00:00:00:00:00, -62
1521713701024, 64:f6:9d:36:82:19, 02:00:00:00:00:00, -62
1521713701024, 64:f6:9d:43:1b:b9, 02:00:00:00:00:00, -62
1521713701025, 64:f6:9d:43:1b:bc, 02:00:00:00:00:00, -62
1521713701025, 64:f6:9d:43:1b:bd, 02:00:00:00:00:00, -62
1521713701026, 64:f6:9d:37:a7:15, 02:00:00:00:00:00, -64
1521713701026, 64:f6:9d:48:ab:34, 02:00:00:00:00:00, -65
1521713701027, 64:f6:9d:48:ab:35, 02:00:00:00:00:00, -65
1521713701027, 64:f6:9d:48:ab:30, 02:00:00:00:00:00, -66
1521713701027, 64:f6:9d:37:a9:94, 02:00:00:00:00:00, -66
1521713701028, 64:f6:9d:37:a9:95, 02:00:00:00:00:00, -66
1521713701028, 64:f6:9d:37:a9:90, 02:00:00:00:00:00, -66
1521713701029, 64:f6:9d:37:a9:96, 02:00:00:00:00:00, -66
1521713701030, 64:f6:9d:37:a5:75, 02:00:00:00:00:00, -70
1521713701031, 64:f6:9d:37:a5:70, 02:00:00:00:00:00, -70
1521713701032, 64:f6:9d:3a:8f:f5, 02:00:00:00:00:00, -70
1521713701032, 64:f6:9d:3a:94:0f, 02:00:00:00:00:00, -70
