Timestamp, APAddress, DeviceAddress, WifiStrength(dBm) 
1521735558147, 64:f6:9d:36:82:14, 02:00:00:00:00:00, -47
1521735558148, 64:f6:9d:43:1b:b4, 02:00:00:00:00:00, -50
1521735558149, 64:f6:9d:36:82:10, 02:00:00:00:00:00, -50
1521735558151, 64:f6:9d:43:1b:b0, 02:00:00:00:00:00, -51
1521735558152, 64:f6:9d:43:1b:b5, 02:00:00:00:00:00, -51
1521735558152, 64:f6:9d:36:82:15, 02:00:00:00:00:00, -51
1521735558153, 64:f6:9d:36:82:13, 02:00:00:00:00:00, -51
1521735558154, 64:f6:9d:43:1b:b3, 02:00:00:00:00:00, -51
1521735558155, 64:f6:9d:43:20:d5, 02:00:00:00:00:00, -57
1521735558155, 64:f6:9d:43:20:d0, 02:00:00:00:00:00, -58
1521735558156, 64:f6:9d:37:a7:14, 02:00:00:00:00:00, -59
1521735558159, 64:f6:9d:3a:94:00, 02:00:00:00:00:00, -59
1521735558161, 64:f6:9d:37:a7:16, 02:00:00:00:00:00, -59
1521735558162, 64:f6:9d:43:20:d4, 02:00:00:00:00:00, -59
1521735558163, 64:f6:9d:43:20:d6, 02:00:00:00:00:00, -59
1521735558164, 64:f6:9d:37:a7:12, 02:00:00:00:00:00, -59
1521735558165, 64:f6:9d:3a:94:04, 02:00:00:00:00:00, -60
1521735558167, 64:f6:9d:37:a7:15, 02:00:00:00:00:00, -60
1521735558170, 64:f6:9d:37:a7:10, 02:00:00:00:00:00, -60
1521735558172, 64:f6:9d:3a:94:05, 02:00:00:00:00:00, -61
1521735558174, 64:f6:9d:36:82:1f, 02:00:00:00:00:00, -62
1521735558174, 64:f6:9d:48:ab:30, 02:00:00:00:00:00, -63
1521735558175, 64:f6:9d:48:ab:34, 02:00:00:00:00:00, -63
1521735558177, 64:f6:9d:48:ab:35, 02:00:00:00:00:00, -63
1521735558177, 64:f6:9d:48:ab:33, 02:00:00:00:00:00, -63
1521735558178, 64:f6:9d:36:82:1b, 02:00:00:00:00:00, -63
1521735558180, 64:f6:9d:43:1b:b9, 02:00:00:00:00:00, -63
1521735558181, 64:f6:9d:37:a9:90, 02:00:00:00:00:00, -64
1521735558181, 64:f6:9d:37:a9:94, 02:00:00:00:00:00, -64
1521735558182, 64:f6:9d:37:a9:95, 02:00:00:00:00:00, -64
1521735558183, 64:f6:9d:43:1b:ba, 02:00:00:00:00:00, -64
1521735558183, 64:f6:9d:43:1b:bb, 02:00:00:00:00:00, -64
1521735558184, 64:f6:9d:43:1b:bd, 02:00:00:00:00:00, -64
1521735558184, 64:f6:9d:43:1b:bc, 02:00:00:00:00:00, -64
1521735558185, 64:f6:9d:43:20:db, 02:00:00:00:00:00, -65
1521735558185, 64:f6:9d:43:1b:bf, 02:00:00:00:00:00, -65
1521735558186, 64:f6:9d:37:a7:1b, 02:00:00:00:00:00, -68
1521735558187, 64:f6:9d:37:a7:1f, 02:00:00:00:00:00, -68
1521735558187, 64:f6:9d:37:a7:1a, 02:00:00:00:00:00, -68
1521735558188, 64:f6:9d:36:85:b5, 02:00:00:00:00:00, -69
1521735558189, 64:f6:9d:37:a5:75, 02:00:00:00:00:00, -69
1521735558190, 64:f6:9d:37:a5:70, 02:00:00:00:00:00, -69
1521735558191, 64:f6:9d:3a:8f:f5, 02:00:00:00:00:00, -69
1521735558192, 64:f6:9d:3a:8f:f0, 02:00:00:00:00:00, -69
1521735558193, 64:f6:9d:36:85:b0, 02:00:00:00:00:00, -69
1521735558193, 64:f6:9d:3a:8a:b0, 02:00:00:00:00:00, -69
1521735558194, 64:f6:9d:3a:8a:b4, 02:00:00:00:00:00, -69
1521735558195, 64:f6:9d:3a:8f:f4, 02:00:00:00:00:00, -69
1521735558196, 64:f6:9d:3a:8f:f2, 02:00:00:00:00:00, -69
1521735558197, 64:f6:9d:37:a7:1d, 02:00:00:00:00:00, -69
1521735558200, 64:f6:9d:37:a5:73, 02:00:00:00:00:00, -69
1521735558200, 64:f6:9d:36:85:b6, 02:00:00:00:00:00, -69
1521735558201, 64:f6:9d:37:a5:74, 02:00:00:00:00:00, -70
1521735558202, 64:f6:9d:36:85:b4, 02:00:00:00:00:00, -70
1521735558203, 64:f6:9d:37:a9:9f, 02:00:00:00:00:00, -71
1521735558204, 64:f6:9d:21:59:65, 02:00:00:00:00:00, -72
1521735558205, 64:f6:9d:3a:94:0b, 02:00:00:00:00:00, -72
1521735558206, 64:f6:9d:3a:94:0d, 02:00:00:00:00:00, -72
1521735558207, 64:f6:9d:3a:94:0f, 02:00:00:00:00:00, -72
1521735558208, 64:f6:9d:3a:94:0a, 02:00:00:00:00:00, -72
1521735558209, 64:f6:9d:3a:94:09, 02:00:00:00:00:00, -72
1521735558211, 64:f6:9d:43:20:df, 02:00:00:00:00:00, -72
1521735558213, 64:f6:9d:43:20:da, 02:00:00:00:00:00, -72
1521735558214, 64:f6:9d:21:59:62, 02:00:00:00:00:00, -72
1521735558215, 64:f6:9d:21:59:64, 02:00:00:00:00:00, -73
1521735558216, 64:f6:9d:37:9d:e4, 02:00:00:00:00:00, -73
1521735558217, 64:f6:9d:37:9d:e0, 02:00:00:00:00:00, -73
1521735558218, 64:f6:9d:37:9d:e5, 02:00:00:00:00:00, -73
1521735558220, 64:f6:9d:37:a9:9a, 02:00:00:00:00:00, -73
1521735558221, 64:f6:9d:37:a9:9b, 02:00:00:00:00:00, -73
1521735558222, 64:f6:9d:37:9d:e6, 02:00:00:00:00:00, -73
1521735558224, 64:f6:9d:43:1b:95, 02:00:00:00:00:00, -79
1521735558225, 64:f6:9d:3a:8f:ff, 02:00:00:00:00:00, -80
1521735558226, 64:f6:9d:43:1b:94, 02:00:00:00:00:00, -81
1521735558228, 64:f6:9d:3a:8f:f9, 02:00:00:00:00:00, -81
1521735558230, 64:f6:9d:3a:8f:fb, 02:00:00:00:00:00, -81
1521735558233, 64:f6:9d:43:1b:93, 02:00:00:00:00:00, -81
1521735558235, 64:f6:9d:3a:8f:fa, 02:00:00:00:00:00, -82
1521735558236, 64:f6:9d:43:22:90, 02:00:00:00:00:00, -83
1521735558238, 64:f6:9d:43:22:92, 02:00:00:00:00:00, -83
1521735558239, 64:f6:9d:37:a5:7f, 02:00:00:00:00:00, -84
1521735558240, 64:f6:9d:3a:8a:bd, 02:00:00:00:00:00, -84
1521735558242, 64:f6:9d:3a:8a:ba, 02:00:00:00:00:00, -85
1521735558244, 64:f6:9d:3a:8a:bf, 02:00:00:00:00:00, -85
1521735558245, 64:f6:9d:36:82:1a, 02:00:00:00:00:00, -85
1521735558247, 64:f6:9d:37:a5:7b, 02:00:00:00:00:00, -85
1521735558248, 64:f6:9d:37:a5:7a, 02:00:00:00:00:00, -85
1521735558250, 64:f6:9d:21:59:6a, 02:00:00:00:00:00, -86
1521735558253, 64:f6:9d:21:59:6b, 02:00:00:00:00:00, -87
1521735558255, 64:f6:9d:37:9d:ea, 02:00:00:00:00:00, -88
1521735558257, 64:f6:9d:3a:8f:5f, 02:00:00:00:00:00, -88
1521735558259, 64:f6:9d:3a:8f:5b, 02:00:00:00:00:00, -88
1521735558261, 64:f6:9d:37:9d:eb, 02:00:00:00:00:00, -89
1521735558263, 64:f6:9d:37:9d:ef, 02:00:00:00:00:00, -89
1521735558265, 64:f6:9d:3a:8f:5c, 02:00:00:00:00:00, -89
1521735558266, 64:f6:9d:3a:8f:5a, 02:00:00:00:00:00, -90
1521735558267, 64:f6:9d:3a:8f:5d, 02:00:00:00:00:00, -90
1521735558268, 64:f6:9d:3a:8f:59, 02:00:00:00:00:00, -90
1521735562963, 64:f6:9d:36:82:10, 02:00:00:00:00:00, -44
1521735562964, 64:f6:9d:36:82:15, 02:00:00:00:00:00, -44
1521735562965, 64:f6:9d:36:82:13, 02:00:00:00:00:00, -45
1521735562966, 64:f6:9d:43:1b:b5, 02:00:00:00:00:00, -48
1521735562966, 64:f6:9d:36:82:14, 02:00:00:00:00:00, -49
1521735562967, 64:f6:9d:43:1b:b0, 02:00:00:00:00:00, -49
1521735562967, 64:f6:9d:43:1b:b4, 02:00:00:00:00:00, -49
1521735562968, 64:f6:9d:3a:94:00, 02:00:00:00:00:00, -54
1521735562969, 64:f6:9d:3a:94:03, 02:00:00:00:00:00, -54
1521735562969, 64:f6:9d:3a:94:04, 02:00:00:00:00:00, -55
1521735562970, 64:f6:9d:37:a7:14, 02:00:00:00:00:00, -55
1521735562971, 64:f6:9d:37:a7:10, 02:00:00:00:00:00, -55
1521735562972, 64:f6:9d:3a:94:05, 02:00:00:00:00:00, -55
1521735562972, 64:f6:9d:37:a7:12, 02:00:00:00:00:00, -55
1521735562973, 64:f6:9d:37:a7:15, 02:00:00:00:00:00, -56
1521735562973, 64:f6:9d:37:a7:16, 02:00:00:00:00:00, -56
1521735562974, 64:f6:9d:48:ab:30, 02:00:00:00:00:00, -58
1521735562975, 64:f6:9d:48:ab:34, 02:00:00:00:00:00, -58
1521735562976, 64:f6:9d:48:ab:35, 02:00:00:00:00:00, -58
1521735562977, 64:f6:9d:48:ab:33, 02:00:00:00:00:00, -58
1521735562978, 64:f6:9d:36:82:1f, 02:00:00:00:00:00, -59
1521735562978, 64:f6:9d:36:82:1b, 02:00:00:00:00:00, -59
1521735562979, 64:f6:9d:36:82:1a, 02:00:00:00:00:00, -59
1521735562980, 64:f6:9d:37:a9:90, 02:00:00:00:00:00, -61
1521735562980, 64:f6:9d:37:a9:94, 02:00:00:00:00:00, -61
1521735562981, 64:f6:9d:37:a9:95, 02:00:00:00:00:00, -62
1521735562981, 64:f6:9d:43:1b:bb, 02:00:00:00:00:00, -62
1521735562982, 64:f6:9d:43:1b:ba, 02:00:00:00:00:00, -63
1521735562982, 64:f6:9d:43:1b:bf, 02:00:00:00:00:00, -63
1521735562983, 64:f6:9d:43:20:d5, 02:00:00:00:00:00, -64
1521735562983, 64:f6:9d:43:20:d0, 02:00:00:00:00:00, -64
1521735562984, 64:f6:9d:43:20:d4, 02:00:00:00:00:00, -64
1521735562984, 64:f6:9d:43:1b:bc, 02:00:00:00:00:00, -64
1521735562985, 64:f6:9d:43:20:d6, 02:00:00:00:00:00, -64
1521735562985, 64:f6:9d:43:20:d3, 02:00:00:00:00:00, -64
1521735562987, 64:f6:9d:37:a5:75, 02:00:00:00:00:00, -65
1521735562988, 64:f6:9d:3a:8f:f5, 02:00:00:00:00:00, -65
1521735562988, 64:f6:9d:3a:8f:f0, 02:00:00:00:00:00, -65
1521735562991, 64:f6:9d:3a:8f:f4, 02:00:00:00:00:00, -65
1521735562992, 64:f6:9d:3a:94:0b, 02:00:00:00:00:00, -65
1521735562994, 64:f6:9d:3a:94:0f, 02:00:00:00:00:00, -65
1521735562996, 64:f6:9d:3a:8f:f6, 02:00:00:00:00:00, -65
1521735562996, 64:f6:9d:37:a5:74, 02:00:00:00:00:00, -66
1521735562997, 64:f6:9d:36:85:b5, 02:00:00:00:00:00, -66
1521735562999, 64:f6:9d:37:a7:1b, 02:00:00:00:00:00, -66
1521735563003, 64:f6:9d:37:a5:70, 02:00:00:00:00:00, -66
1521735563005, 64:f6:9d:36:85:b0, 02:00:00:00:00:00, -66
1521735563006, 64:f6:9d:36:85:b4, 02:00:00:00:00:00, -66
1521735563007, 64:f6:9d:3a:94:0a, 02:00:00:00:00:00, -66
1521735563008, 64:f6:9d:3a:94:09, 02:00:00:00:00:00, -66
1521735563009, 64:f6:9d:37:a5:73, 02:00:00:00:00:00, -66
1521735563010, 64:f6:9d:3a:94:0c, 02:00:00:00:00:00, -66
1521735563011, 64:f6:9d:48:ab:3d, 02:00:00:00:00:00, -66
1521735563012, 64:f6:9d:37:a7:1f, 02:00:00:00:00:00, -67
1521735563013, 64:f6:9d:37:a7:1a, 02:00:00:00:00:00, -67
1521735563014, 64:f6:9d:3a:94:0d, 02:00:00:00:00:00, -67
1521735563016, 64:f6:9d:37:a7:1d, 02:00:00:00:00:00, -67
1521735563017, 64:f6:9d:36:85:b3, 02:00:00:00:00:00, -67
1521735563019, 64:f6:9d:37:9d:e4, 02:00:00:00:00:00, -68
1521735563020, 64:f6:9d:37:9d:e5, 02:00:00:00:00:00, -68
1521735563021, 64:f6:9d:37:9d:e0, 02:00:00:00:00:00, -69
1521735563022, 64:f6:9d:37:9d:e3, 02:00:00:00:00:00, -69
1521735563024, 64:f6:9d:3a:8a:b2, 02:00:00:00:00:00, -69
1521735563025, 64:f6:9d:3a:8a:b0, 02:00:00:00:00:00, -70
1521735563027, 64:f6:9d:3a:8a:b4, 02:00:00:00:00:00, -70
1521735563028, 64:f6:9d:3a:8a:b5, 02:00:00:00:00:00, -70
1521735563029, 64:f6:9d:43:20:df, 02:00:00:00:00:00, -71
1521735563031, 64:f6:9d:43:20:db, 02:00:00:00:00:00, -71
1521735563032, 64:f6:9d:43:20:da, 02:00:00:00:00:00, -71
1521735563032, 64:f6:9d:37:a9:9c, 02:00:00:00:00:00, -71
1521735563034, 64:f6:9d:21:59:64, 02:00:00:00:00:00, -72
1521735563035, 64:f6:9d:37:a9:9a, 02:00:00:00:00:00, -72
1521735563036, 64:f6:9d:21:59:60, 02:00:00:00:00:00, -72
1521735563037, 64:f6:9d:37:a9:99, 02:00:00:00:00:00, -72
1521735563037, 64:f6:9d:43:20:dc, 02:00:00:00:00:00, -72
1521735563038, 64:f6:9d:48:ab:3f, 02:00:00:00:00:00, -72
1521735563039, 64:f6:9d:48:ab:3b, 02:00:00:00:00:00, -72
1521735563040, 64:f6:9d:48:ab:3a, 02:00:00:00:00:00, -72
1521735563041, 64:f6:9d:48:ab:3c, 02:00:00:00:00:00, -72
1521735563042, 64:f6:9d:21:59:65, 02:00:00:00:00:00, -73
1521735563043, 64:f6:9d:37:a9:9f, 02:00:00:00:00:00, -73
1521735563044, 64:f6:9d:37:a9:9b, 02:00:00:00:00:00, -73
1521735563044, 64:f6:9d:21:59:66, 02:00:00:00:00:00, -73
1521735563045, 64:f6:9d:48:ab:39, 02:00:00:00:00:00, -73
1521735563046, 64:f6:9d:37:a9:9d, 02:00:00:00:00:00, -74
1521735563047, 64:f6:9d:43:20:dd, 02:00:00:00:00:00, -74
1521735563048, 64:f6:9d:43:20:d9, 02:00:00:00:00:00, -74
1521735563049, 64:f6:9d:37:a5:7b, 02:00:00:00:00:00, -77
1521735563050, 64:f6:9d:3a:8f:f9, 02:00:00:00:00:00, -77
1521735563050, 64:f6:9d:3a:8f:fb, 02:00:00:00:00:00, -77
1521735563051, 64:f6:9d:3a:8f:fa, 02:00:00:00:00:00, -77
1521735563052, 64:f6:9d:3a:8f:ff, 02:00:00:00:00:00, -77
1521735563053, 64:f6:9d:3a:8f:fd, 02:00:00:00:00:00, -77
1521735563054, 64:f6:9d:43:1b:94, 02:00:00:00:00:00, -78
1521735563054, 64:f6:9d:43:1b:95, 02:00:00:00:00:00, -78
1521735563055, 64:f6:9d:37:a5:7f, 02:00:00:00:00:00, -78
1521735563056, 64:f6:9d:37:a5:7a, 02:00:00:00:00:00, -78
1521735563057, 64:f6:9d:43:1b:93, 02:00:00:00:00:00, -78
1521735563058, 64:f6:9d:43:1b:90, 02:00:00:00:00:00, -78
1521735563060, 64:f6:9d:37:a5:7d, 02:00:00:00:00:00, -78
1521735563062, 64:f6:9d:37:a5:79, 02:00:00:00:00:00, -78
1521735563063, 64:f6:9d:3a:8f:fc, 02:00:00:00:00:00, -78
1521735563064, 64:f6:9d:43:22:95, 02:00:00:00:00:00, -80
1521735563065, 64:f6:9d:37:a5:7c, 02:00:00:00:00:00, -80
1521735563066, 64:f6:9d:43:22:90, 02:00:00:00:00:00, -81
1521735563067, 64:f6:9d:37:9d:ea, 02:00:00:00:00:00, -82
1521735563068, 64:f6:9d:43:22:92, 02:00:00:00:00:00, -82
1521735563069, 64:f6:9d:43:22:94, 02:00:00:00:00:00, -82
1521735563070, 64:f6:9d:3a:8a:ba, 02:00:00:00:00:00, -83
1521735563071, 64:f6:9d:37:9d:eb, 02:00:00:00:00:00, -83
1521735563072, 64:f6:9d:37:9d:ef, 02:00:00:00:00:00, -83
1521735563072, 64:f6:9d:37:9d:ed, 02:00:00:00:00:00, -83
1521735563073, 64:f6:9d:21:59:6a, 02:00:00:00:00:00, -84
1521735563074, 64:f6:9d:21:59:6b, 02:00:00:00:00:00, -84
1521735563075, 64:f6:9d:3a:8a:bd, 02:00:00:00:00:00, -84
1521735563077, 64:f6:9d:21:59:6f, 02:00:00:00:00:00, -84
1521735563078, 64:f6:9d:37:9d:ec, 02:00:00:00:00:00, -84
1521735563079, 64:f6:9d:37:9d:e9, 02:00:00:00:00:00, -84
1521735563079, 64:f6:9d:3a:8a:bb, 02:00:00:00:00:00, -85
1521735563080, 64:f6:9d:43:1b:99, 02:00:00:00:00:00, -86
1521735563081, 64:f6:9d:43:1b:9a, 02:00:00:00:00:00, -87
1521735563082, 64:f6:9d:43:1b:9c, 02:00:00:00:00:00, -87
1521735563083, 64:f6:9d:43:1b:9d, 02:00:00:00:00:00, -87
1521735563084, 64:f6:9d:36:85:bb, 02:00:00:00:00:00, -87
1521735563085, 64:f6:9d:36:85:ba, 02:00:00:00:00:00, -87
1521735563086, 64:f6:9d:36:85:bf, 02:00:00:00:00:00, -87
1521735563087, 64:f6:9d:36:85:bd, 02:00:00:00:00:00, -87
1521735563088, 64:f6:9d:3a:8f:5f, 02:00:00:00:00:00, -88
1521735563090, 64:f6:9d:3a:8f:5b, 02:00:00:00:00:00, -88
