Timestamp, APAddress, DeviceAddress, WifiStrength(dBm) 
1521735628519, 64:f6:9d:37:a7:14, 02:00:00:00:00:00, -48
1521735628522, 64:f6:9d:37:a7:15, 02:00:00:00:00:00, -49
1521735628525, 64:f6:9d:37:a7:12, 02:00:00:00:00:00, -49
1521735628529, 64:f6:9d:37:a7:10, 02:00:00:00:00:00, -49
1521735628532, 64:f6:9d:36:82:14, 02:00:00:00:00:00, -51
1521735628536, 64:f6:9d:3a:94:04, 02:00:00:00:00:00, -54
1521735628539, 64:f6:9d:3a:94:00, 02:00:00:00:00:00, -54
1521735628540, 64:f6:9d:3a:94:05, 02:00:00:00:00:00, -54
1521735628541, 64:f6:9d:3a:94:03, 02:00:00:00:00:00, -54
1521735628543, 64:f6:9d:37:a7:1b, 02:00:00:00:00:00, -55
1521735628543, 64:f6:9d:37:a7:1f, 02:00:00:00:00:00, -55
1521735628544, 64:f6:9d:37:a7:1a, 02:00:00:00:00:00, -55
1521735628545, 64:f6:9d:37:a7:1c, 02:00:00:00:00:00, -55
1521735628545, 64:f6:9d:43:1b:b0, 02:00:00:00:00:00, -57
1521735628546, 64:f6:9d:43:1b:b4, 02:00:00:00:00:00, -57
1521735628546, 64:f6:9d:43:1b:b5, 02:00:00:00:00:00, -57
1521735628547, 64:f6:9d:36:82:10, 02:00:00:00:00:00, -57
1521735628548, 64:f6:9d:36:82:15, 02:00:00:00:00:00, -57
1521735628549, 64:f6:9d:3a:94:0b, 02:00:00:00:00:00, -57
1521735628549, 64:f6:9d:3a:94:0f, 02:00:00:00:00:00, -57
1521735628550, 64:f6:9d:3a:94:0a, 02:00:00:00:00:00, -57
1521735628551, 64:f6:9d:36:82:13, 02:00:00:00:00:00, -57
1521735628551, 64:f6:9d:3a:94:0d, 02:00:00:00:00:00, -58
1521735628552, 64:f6:9d:3a:94:09, 02:00:00:00:00:00, -58
1521735628552, 64:f6:9d:43:1b:b3, 02:00:00:00:00:00, -58
1521735628553, 64:f6:9d:3a:94:0c, 02:00:00:00:00:00, -58
1521735628553, 64:f6:9d:48:ab:30, 02:00:00:00:00:00, -61
1521735628554, 64:f6:9d:48:ab:34, 02:00:00:00:00:00, -61
1521735628554, 64:f6:9d:48:ab:35, 02:00:00:00:00:00, -62
1521735628555, 64:f6:9d:48:ab:33, 02:00:00:00:00:00, -62
1521735628555, 64:f6:9d:43:20:d5, 02:00:00:00:00:00, -64
1521735628556, 64:f6:9d:43:20:d4, 02:00:00:00:00:00, -64
1521735628556, 64:f6:9d:43:20:d0, 02:00:00:00:00:00, -64
1521735628557, 64:f6:9d:3a:8a:b5, 02:00:00:00:00:00, -64
1521735628557, 64:f6:9d:43:20:d3, 02:00:00:00:00:00, -64
1521735628558, 64:f6:9d:3a:8a:b4, 02:00:00:00:00:00, -65
1521735628558, 64:f6:9d:3a:8a:b2, 02:00:00:00:00:00, -65
1521735628559, 64:f6:9d:3a:8a:b0, 02:00:00:00:00:00, -66
1521735628559, 64:f6:9d:37:a9:94, 02:00:00:00:00:00, -67
1521735628560, 64:f6:9d:37:a9:90, 02:00:00:00:00:00, -67
1521735628561, 64:f6:9d:3a:8f:f0, 02:00:00:00:00:00, -67
1521735628562, 64:f6:9d:37:a9:95, 02:00:00:00:00:00, -68
1521735628563, 64:f6:9d:3a:8f:f5, 02:00:00:00:00:00, -68
1521735628564, 64:f6:9d:3a:8f:f4, 02:00:00:00:00:00, -68
1521735628565, 64:f6:9d:3a:8f:f2, 02:00:00:00:00:00, -68
1521735628567, 64:f6:9d:3a:8f:f6, 02:00:00:00:00:00, -68
1521735628568, 64:f6:9d:36:82:1f, 02:00:00:00:00:00, -69
1521735628569, 64:f6:9d:36:82:1b, 02:00:00:00:00:00, -69
1521735628570, 64:f6:9d:37:9d:e4, 02:00:00:00:00:00, -70
1521735628571, 64:f6:9d:37:9d:e0, 02:00:00:00:00:00, -70
1521735628574, 64:f6:9d:37:9d:e5, 02:00:00:00:00:00, -70
1521735628577, 64:f6:9d:36:82:1a, 02:00:00:00:00:00, -70
1521735628578, 64:f6:9d:37:9d:e6, 02:00:00:00:00:00, -70
1521735628579, 64:f6:9d:36:82:1d, 02:00:00:00:00:00, -70
1521735628579, 64:f6:9d:36:82:19, 02:00:00:00:00:00, -70
1521735628580, 64:f6:9d:48:ab:3f, 02:00:00:00:00:00, -71
1521735628581, 64:f6:9d:48:ab:3b, 02:00:00:00:00:00, -71
1521735628582, 64:f6:9d:48:ab:3a, 02:00:00:00:00:00, -71
1521735628582, 64:f6:9d:37:a5:74, 02:00:00:00:00:00, -72
1521735628583, 64:f6:9d:37:a5:75, 02:00:00:00:00:00, -72
1521735628584, 64:f6:9d:37:a5:70, 02:00:00:00:00:00, -72
1521735628584, 64:f6:9d:37:a5:73, 02:00:00:00:00:00, -72
1521735628585, 64:f6:9d:43:1b:ba, 02:00:00:00:00:00, -74
1521735628586, 64:f6:9d:43:1b:bf, 02:00:00:00:00:00, -74
1521735628587, 64:f6:9d:43:1b:bb, 02:00:00:00:00:00, -74
1521735628588, 64:f6:9d:43:1b:bd, 02:00:00:00:00:00, -74
1521735628589, 64:f6:9d:43:1b:b9, 02:00:00:00:00:00, -74
1521735628590, 64:f6:9d:43:1b:bc, 02:00:00:00:00:00, -74
