Timestamp, APAddress, DeviceAddress, WifiStrength(dBm) 
1521735282357, 64:f6:9d:36:85:b5, 02:00:00:00:00:00, -56
1521735282358, 64:f6:9d:48:ab:30, 02:00:00:00:00:00, -57
1521735282359, 64:f6:9d:36:85:b0, 02:00:00:00:00:00, -57
1521735282361, 64:f6:9d:36:85:b4, 02:00:00:00:00:00, -57
1521735282361, 64:f6:9d:36:85:b3, 02:00:00:00:00:00, -57
1521735282362, 64:f6:9d:48:ab:35, 02:00:00:00:00:00, -58
1521735282362, 64:f6:9d:48:ab:33, 02:00:00:00:00:00, -58
1521735282363, 64:f6:9d:48:ab:34, 02:00:00:00:00:00, -59
1521735282363, 64:f6:9d:37:a5:70, 02:00:00:00:00:00, -59
1521735282363, 64:f6:9d:37:a5:74, 02:00:00:00:00:00, -59
1521735282364, 64:f6:9d:37:a5:75, 02:00:00:00:00:00, -59
1521735282364, 64:f6:9d:36:82:14, 02:00:00:00:00:00, -60
1521735282365, 64:f6:9d:36:82:15, 02:00:00:00:00:00, -60
1521735282365, 64:f6:9d:43:20:d4, 02:00:00:00:00:00, -60
1521735282366, 64:f6:9d:43:20:d5, 02:00:00:00:00:00, -60
1521735282366, 64:f6:9d:43:20:d3, 02:00:00:00:00:00, -60
1521735282366, 64:f6:9d:43:20:d0, 02:00:00:00:00:00, -61
1521735282367, 64:f6:9d:3a:8f:f5, 02:00:00:00:00:00, -63
1521735282367, 64:f6:9d:3a:8f:f4, 02:00:00:00:00:00, -63
1521735282368, 64:f6:9d:37:a9:95, 02:00:00:00:00:00, -63
1521735282368, 64:f6:9d:3a:8a:b4, 02:00:00:00:00:00, -63
1521735282368, 64:f6:9d:3a:8a:b0, 02:00:00:00:00:00, -63
1521735282369, 64:f6:9d:37:a9:94, 02:00:00:00:00:00, -64
1521735282370, 64:f6:9d:3a:8a:b2, 02:00:00:00:00:00, -64
1521735282371, 64:f6:9d:3a:8f:f6, 02:00:00:00:00:00, -64
1521735282372, 64:f6:9d:48:ab:3c, 02:00:00:00:00:00, -64
1521735282372, 64:f6:9d:48:ab:3b, 02:00:00:00:00:00, -65
1521735282373, 64:f6:9d:48:ab:3a, 02:00:00:00:00:00, -65
1521735282374, 64:f6:9d:48:ab:3d, 02:00:00:00:00:00, -65
1521735282376, 64:f6:9d:21:59:60, 02:00:00:00:00:00, -66
1521735282377, 64:f6:9d:21:59:65, 02:00:00:00:00:00, -66
1521735282378, 64:f6:9d:43:1b:b5, 02:00:00:00:00:00, -66
1521735282378, 64:f6:9d:48:ab:39, 02:00:00:00:00:00, -66
1521735282379, 64:f6:9d:48:ab:3f, 02:00:00:00:00:00, -66
1521735282380, 64:f6:9d:43:1b:b4, 02:00:00:00:00:00, -66
1521735282382, 64:f6:9d:21:59:63, 02:00:00:00:00:00, -66
1521735282384, 64:f6:9d:43:1b:b0, 02:00:00:00:00:00, -66
1521735282384, 64:f6:9d:37:a7:15, 02:00:00:00:00:00, -67
1521735282385, 64:f6:9d:3a:94:00, 02:00:00:00:00:00, -67
1521735282386, 64:f6:9d:3a:94:05, 02:00:00:00:00:00, -67
1521735282387, 64:f6:9d:37:a7:10, 02:00:00:00:00:00, -67
1521735282388, 64:f6:9d:37:a7:16, 02:00:00:00:00:00, -67
1521735282388, 64:f6:9d:37:a7:13, 02:00:00:00:00:00, -67
1521735282389, 64:f6:9d:21:59:64, 02:00:00:00:00:00, -68
1521735282391, 64:f6:9d:43:1b:95, 02:00:00:00:00:00, -68
1521735282392, 64:f6:9d:37:a7:14, 02:00:00:00:00:00, -68
1521735282393, 64:f6:9d:37:a5:76, 02:00:00:00:00:00, -68
1521735282395, 64:f6:9d:37:9d:e5, 02:00:00:00:00:00, -69
1521735282396, 64:f6:9d:37:9d:e3, 02:00:00:00:00:00, -69
1521735282398, 64:f6:9d:37:9d:e4, 02:00:00:00:00:00, -70
1521735282399, 64:f6:9d:37:9d:e0, 02:00:00:00:00:00, -70
1521735282401, 64:f6:9d:37:a5:7f, 02:00:00:00:00:00, -70
1521735282402, 64:f6:9d:36:85:bf, 02:00:00:00:00:00, -70
1521735282403, 64:f6:9d:36:85:bb, 02:00:00:00:00:00, -70
1521735282405, 64:f6:9d:36:85:ba, 02:00:00:00:00:00, -70
1521735282406, 64:f6:9d:36:82:1b, 02:00:00:00:00:00, -71
1521735282407, 64:f6:9d:36:82:1a, 02:00:00:00:00:00, -71
1521735282408, 64:f6:9d:36:82:1f, 02:00:00:00:00:00, -71
1521735282410, 64:f6:9d:37:a5:7d, 02:00:00:00:00:00, -71
1521735282411, 64:f6:9d:37:a5:7b, 02:00:00:00:00:00, -71
1521735282413, 64:f6:9d:37:a5:7a, 02:00:00:00:00:00, -71
1521735282414, 64:f6:9d:37:a5:79, 02:00:00:00:00:00, -71
1521735282415, 64:f6:9d:36:85:b9, 02:00:00:00:00:00, -71
1521735282416, 64:f6:9d:36:85:bd, 02:00:00:00:00:00, -71
1521735282417, 64:f6:9d:36:85:bc, 02:00:00:00:00:00, -71
1521735282418, 64:f6:9d:36:82:1d, 02:00:00:00:00:00, -71
1521735282420, 64:f6:9d:36:82:19, 02:00:00:00:00:00, -71
1521735282421, 64:f6:9d:37:a5:7c, 02:00:00:00:00:00, -72
1521735282423, 64:f6:9d:43:20:dc, 02:00:00:00:00:00, -72
1521735282425, 64:f6:9d:43:20:df, 02:00:00:00:00:00, -72
1521735282426, 64:f6:9d:43:20:d9, 02:00:00:00:00:00, -73
1521735282428, 64:f6:9d:43:20:da, 02:00:00:00:00:00, -73
1521735282430, 64:f6:9d:43:20:db, 02:00:00:00:00:00, -73
1521735282431, 64:f6:9d:3a:94:04, 02:00:00:00:00:00, -73
1521735282433, 64:f6:9d:43:1b:bb, 02:00:00:00:00:00, -74
1521735282434, 64:f6:9d:43:1b:bf, 02:00:00:00:00:00, -74
1521735282435, 64:f6:9d:43:1b:b9, 02:00:00:00:00:00, -74
1521735282436, 64:f6:9d:43:20:dd, 02:00:00:00:00:00, -74
1521735282438, 64:f6:9d:3a:8a:ba, 02:00:00:00:00:00, -75
1521735282439, 64:f6:9d:3a:8a:bf, 02:00:00:00:00:00, -75
1521735282442, 64:f6:9d:43:1b:ba, 02:00:00:00:00:00, -75
1521735282443, 64:f6:9d:43:1b:bd, 02:00:00:00:00:00, -75
1521735282445, 64:f6:9d:21:59:6f, 02:00:00:00:00:00, -76
1521735282446, 64:f6:9d:21:59:6a, 02:00:00:00:00:00, -76
1521735282447, 64:f6:9d:3a:8a:bb, 02:00:00:00:00:00, -76
1521735282450, 64:f6:9d:43:1b:bc, 02:00:00:00:00:00, -76
1521735282452, 64:f6:9d:3a:8a:bd, 02:00:00:00:00:00, -76
1521735282454, 64:f6:9d:21:59:6b, 02:00:00:00:00:00, -77
1521735282456, 64:f6:9d:43:1b:9f, 02:00:00:00:00:00, -77
1521735282457, 64:f6:9d:43:1b:99, 02:00:00:00:00:00, -77
1521735282459, 64:f6:9d:37:a9:9c, 02:00:00:00:00:00, -77
1521735282461, 64:f6:9d:43:1b:9a, 02:00:00:00:00:00, -77
1521735282463, 64:f6:9d:36:89:05, 02:00:00:00:00:00, -77
1521735282465, 64:f6:9d:36:89:04, 02:00:00:00:00:00, -77
1521735282466, 64:f6:9d:21:59:6c, 02:00:00:00:00:00, -77
1521735282467, 64:f6:9d:3a:8f:fa, 02:00:00:00:00:00, -78
1521735282469, 64:f6:9d:3a:8f:f9, 02:00:00:00:00:00, -78
1521735282471, 64:f6:9d:43:1b:9b, 02:00:00:00:00:00, -78
1521735282474, 64:f6:9d:43:1b:9d, 02:00:00:00:00:00, -78
1521735282476, 64:f6:9d:43:1b:9c, 02:00:00:00:00:00, -78
1521735282478, 64:f6:9d:37:a9:9a, 02:00:00:00:00:00, -78
1521735282481, 64:f6:9d:37:a7:1f, 02:00:00:00:00:00, -78
1521735282483, 64:f6:9d:37:a7:1a, 02:00:00:00:00:00, -79
1521735282485, 64:f6:9d:3a:8f:fc, 02:00:00:00:00:00, -79
1521735282486, 64:f6:9d:37:a9:99, 02:00:00:00:00:00, -79
1521735282488, 64:f6:9d:3a:94:0b, 02:00:00:00:00:00, -80
1521735282490, 64:f6:9d:3a:94:0a, 02:00:00:00:00:00, -80
1521735282492, 64:f6:9d:3a:8f:fd, 02:00:00:00:00:00, -80
1521735282495, 64:f6:9d:3a:8f:ff, 02:00:00:00:00:00, -80
1521735282497, 64:f6:9d:3a:94:0f, 02:00:00:00:00:00, -80
1521735282500, 64:f6:9d:3a:94:0c, 02:00:00:00:00:00, -80
1521735282502, 64:f6:9d:3a:94:0d, 02:00:00:00:00:00, -80
1521735282504, 64:f6:9d:37:a9:9f, 02:00:00:00:00:00, -80
1521735282506, 64:f6:9d:37:a2:a4, 02:00:00:00:00:00, -80
1521735282508, 64:f6:9d:37:a7:1b, 02:00:00:00:00:00, -80
1521735282510, 64:f6:9d:3a:8f:fb, 02:00:00:00:00:00, -81
1521735282511, 64:f6:9d:37:9d:ea, 02:00:00:00:00:00, -81
1521735282512, 64:f6:9d:37:9d:ec, 02:00:00:00:00:00, -81
1521735282513, 64:f6:9d:37:a7:1c, 02:00:00:00:00:00, -81
1521735282514, 64:f6:9d:37:a9:9b, 02:00:00:00:00:00, -81
1521735282515, 64:f6:9d:43:22:95, 02:00:00:00:00:00, -81
