Timestamp, APAddress, DeviceAddress, WifiStrength(dBm) 
1521735426408, 64:f6:9d:37:a5:74, 02:00:00:00:00:00, -41
1521735426411, 64:f6:9d:37:a5:70, 02:00:00:00:00:00, -43
1521735426412, 64:f6:9d:37:a5:72, 02:00:00:00:00:00, -43
1521735426414, 64:f6:9d:37:a5:75, 02:00:00:00:00:00, -43
1521735426416, 64:f6:9d:37:a5:76, 02:00:00:00:00:00, -43
1521735426419, 64:f6:9d:37:a5:7a, 02:00:00:00:00:00, -52
1521735426420, 64:f6:9d:37:a5:7f, 02:00:00:00:00:00, -53
1521735426420, 64:f6:9d:37:a5:7b, 02:00:00:00:00:00, -53
1521735426421, 64:f6:9d:36:85:b0, 02:00:00:00:00:00, -56
1521735426422, 64:f6:9d:36:85:b4, 02:00:00:00:00:00, -56
1521735426424, 64:f6:9d:3a:8f:f5, 02:00:00:00:00:00, -56
1521735426425, 64:f6:9d:3a:8f:f3, 02:00:00:00:00:00, -57
1521735426426, 64:f6:9d:36:85:b5, 02:00:00:00:00:00, -57
1521735426427, 64:f6:9d:3a:8f:f0, 02:00:00:00:00:00, -57
1521735426428, 64:f6:9d:3a:8f:f4, 02:00:00:00:00:00, -57
1521735426429, 64:f6:9d:36:85:b2, 02:00:00:00:00:00, -57
1521735426430, 64:f6:9d:21:59:60, 02:00:00:00:00:00, -60
1521735426431, 64:f6:9d:21:59:65, 02:00:00:00:00:00, -60
1521735426432, 64:f6:9d:21:59:63, 02:00:00:00:00:00, -61
1521735426432, 64:f6:9d:21:59:64, 02:00:00:00:00:00, -63
1521735426433, 64:f6:9d:37:9d:e0, 02:00:00:00:00:00, -64
1521735426436, 64:f6:9d:48:ab:35, 02:00:00:00:00:00, -65
1521735426437, 64:f6:9d:48:ab:30, 02:00:00:00:00:00, -65
1521735426438, 64:f6:9d:37:9d:e4, 02:00:00:00:00:00, -65
1521735426439, 64:f6:9d:48:ab:34, 02:00:00:00:00:00, -65
1521735426440, 64:f6:9d:48:ab:33, 02:00:00:00:00:00, -66
1521735426441, 64:f6:9d:36:82:16, 02:00:00:00:00:00, -66
1521735426441, 64:f6:9d:37:9d:e3, 02:00:00:00:00:00, -66
1521735426442, 64:f6:9d:36:82:10, 02:00:00:00:00:00, -66
1521735426443, 64:f6:9d:36:82:14, 02:00:00:00:00:00, -66
1521735426444, 64:f6:9d:36:82:15, 02:00:00:00:00:00, -66
1521735426445, 64:f6:9d:36:82:12, 02:00:00:00:00:00, -66
1521735426446, 64:f6:9d:21:59:6a, 02:00:00:00:00:00, -69
1521735426449, 64:f6:9d:43:20:d4, 02:00:00:00:00:00, -70
1521735426450, 64:f6:9d:43:20:d5, 02:00:00:00:00:00, -70
1521735426451, 64:f6:9d:21:59:6f, 02:00:00:00:00:00, -70
1521735426451, 64:f6:9d:21:59:6b, 02:00:00:00:00:00, -70
1521735426452, 64:f6:9d:3a:8f:ff, 02:00:00:00:00:00, -71
1521735426453, 64:f6:9d:3a:8f:fb, 02:00:00:00:00:00, -71
1521735426454, 64:f6:9d:3a:8f:fa, 02:00:00:00:00:00, -71
1521735426455, 64:f6:9d:3a:94:04, 02:00:00:00:00:00, -71
1521735426456, 64:f6:9d:43:20:d0, 02:00:00:00:00:00, -71
1521735426459, 64:f6:9d:43:20:d2, 02:00:00:00:00:00, -71
1521735426461, 64:f6:9d:43:1b:b5, 02:00:00:00:00:00, -72
1521735426462, 64:f6:9d:37:a9:95, 02:00:00:00:00:00, -72
1521735426463, 64:f6:9d:3a:8f:fd, 02:00:00:00:00:00, -72
1521735426465, 64:f6:9d:43:1b:b0, 02:00:00:00:00:00, -72
1521735426468, 64:f6:9d:43:1b:b4, 02:00:00:00:00:00, -72
1521735426470, 64:f6:9d:37:a9:90, 02:00:00:00:00:00, -72
1521735426473, 64:f6:9d:3a:94:05, 02:00:00:00:00:00, -72
1521735426475, 64:f6:9d:3a:94:02, 02:00:00:00:00:00, -72
1521735426478, 64:f6:9d:3a:94:00, 02:00:00:00:00:00, -72
1521735426480, 64:f6:9d:37:a9:93, 02:00:00:00:00:00, -73
1521735426483, 64:f6:9d:36:85:bb, 02:00:00:00:00:00, -73
1521735426485, 64:f6:9d:37:a9:94, 02:00:00:00:00:00, -73
1521735426486, 64:f6:9d:36:85:bf, 02:00:00:00:00:00, -74
1521735426487, 64:f6:9d:37:a7:15, 02:00:00:00:00:00, -75
1521735426489, 64:f6:9d:3a:8a:b5, 02:00:00:00:00:00, -75
1521735426490, 64:f6:9d:3a:8a:b3, 02:00:00:00:00:00, -76
1521735426491, 64:f6:9d:37:a7:14, 02:00:00:00:00:00, -76
1521735426493, 64:f6:9d:37:a7:10, 02:00:00:00:00:00, -76
1521735426494, 64:f6:9d:43:1b:94, 02:00:00:00:00:00, -76
1521735426494, 64:f6:9d:3a:8a:b0, 02:00:00:00:00:00, -76
1521735426495, 64:f6:9d:3a:8a:b4, 02:00:00:00:00:00, -76
1521735426496, 64:f6:9d:48:ab:3f, 02:00:00:00:00:00, -76
1521735426498, 64:f6:9d:43:1b:90, 02:00:00:00:00:00, -77
1521735426499, 64:f6:9d:48:ab:3b, 02:00:00:00:00:00, -77
1521735426500, 64:f6:9d:48:ab:39, 02:00:00:00:00:00, -77
1521735426501, 64:f6:9d:43:1b:96, 02:00:00:00:00:00, -78
1521735426502, 64:f6:9d:37:9d:ef, 02:00:00:00:00:00, -78
1521735426503, 64:f6:9d:43:1b:95, 02:00:00:00:00:00, -78
1521735426505, 64:f6:9d:37:9d:e9, 02:00:00:00:00:00, -78
1521735426506, 64:f6:9d:48:ab:3a, 02:00:00:00:00:00, -78
1521735426507, 64:f6:9d:43:1b:92, 02:00:00:00:00:00, -79
1521735426509, 64:f6:9d:37:9d:eb, 02:00:00:00:00:00, -79
1521735426510, 64:f6:9d:37:9d:ea, 02:00:00:00:00:00, -79
1521735426511, 64:f6:9d:37:9d:ec, 02:00:00:00:00:00, -79
1521735426512, 64:f6:9d:37:9d:ed, 02:00:00:00:00:00, -80
1521735426514, 64:f6:9d:43:22:95, 02:00:00:00:00:00, -82
1521735426515, 64:f6:9d:43:22:94, 02:00:00:00:00:00, -82
1521735426517, 64:f6:9d:36:82:1b, 02:00:00:00:00:00, -84
1521735426519, 64:f6:9d:36:85:ba, 02:00:00:00:00:00, -84
1521735426521, 64:f6:9d:36:82:1a, 02:00:00:00:00:00, -84
1521735426522, 64:f6:9d:3a:94:0b, 02:00:00:00:00:00, -86
1521735426524, 64:f6:9d:3a:94:0a, 02:00:00:00:00:00, -86
1521735426526, 64:f6:9d:43:1b:b9, 02:00:00:00:00:00, -87
1521735426527, 64:f6:9d:3a:8a:ba, 02:00:00:00:00:00, -87
1521735426528, 64:f6:9d:3a:8a:bf, 02:00:00:00:00:00, -87
1521735426529, 64:f6:9d:3a:8a:bb, 02:00:00:00:00:00, -87
1521735426531, 64:f6:9d:37:a7:1a, 02:00:00:00:00:00, -88
1521735426532, 64:f6:9d:43:1b:bb, 02:00:00:00:00:00, -88
1521735426533, 64:f6:9d:43:1b:ba, 02:00:00:00:00:00, -88
1521735426535, 64:f6:9d:37:a9:9b, 02:00:00:00:00:00, -88
1521735426536, 64:f6:9d:37:a9:99, 02:00:00:00:00:00, -88
1521735426537, 64:f6:9d:37:a9:9a, 02:00:00:00:00:00, -88
1521735426538, 64:f6:9d:37:a7:1b, 02:00:00:00:00:00, -88
1521735426540, 64:f6:9d:43:20:da, 02:00:00:00:00:00, -88
1521735426541, 64:f6:9d:43:20:db, 02:00:00:00:00:00, -88
1521735426543, 64:f6:9d:43:20:6c, 02:00:00:00:00:00, -88
1521735426545, 64:f6:9d:43:20:df, 02:00:00:00:00:00, -89
1521735426547, 64:f6:9d:43:20:dd, 02:00:00:00:00:00, -89
1521735426548, 64:f6:9d:43:20:d9, 02:00:00:00:00:00, -89
1521735426550, 64:f6:9d:43:20:dc, 02:00:00:00:00:00, -89
1521735430701, 64:f6:9d:37:a5:70, 02:00:00:00:00:00, -45
1521735430702, 64:f6:9d:37:a5:74, 02:00:00:00:00:00, -46
1521735430704, 64:f6:9d:37:a5:73, 02:00:00:00:00:00, -46
1521735430706, 64:f6:9d:37:a5:75, 02:00:00:00:00:00, -46
1521735430708, 64:f6:9d:37:a5:79, 02:00:00:00:00:00, -57
1521735430709, 64:f6:9d:3a:8f:f0, 02:00:00:00:00:00, -57
1521735430709, 64:f6:9d:3a:8f:f4, 02:00:00:00:00:00, -57
