Timestamp, APAddress, DeviceAddress, WifiStrength(dBm) 
1521735716935, 64:f6:9d:3a:8f:f4, 02:00:00:00:00:00, -46
1521735716936, 64:f6:9d:3a:8f:f0, 02:00:00:00:00:00, -49
1521735716937, 64:f6:9d:3a:8f:f5, 02:00:00:00:00:00, -49
1521735716937, 64:f6:9d:3a:8f:f3, 02:00:00:00:00:00, -49
1521735716938, 64:f6:9d:37:9d:e0, 02:00:00:00:00:00, -51
1521735716938, 64:f6:9d:37:9d:e4, 02:00:00:00:00:00, -52
1521735716939, 64:f6:9d:37:9d:e5, 02:00:00:00:00:00, -52
1521735716939, 64:f6:9d:3a:8f:fa, 02:00:00:00:00:00, -52
1521735716940, 64:f6:9d:3a:8f:ff, 02:00:00:00:00:00, -53
1521735716940, 64:f6:9d:3a:8f:fb, 02:00:00:00:00:00, -53
1521735716941, 64:f6:9d:3a:8f:fc, 02:00:00:00:00:00, -54
1521735716942, 64:f6:9d:3a:8f:fd, 02:00:00:00:00:00, -55
1521735716942, 64:f6:9d:3a:8f:f9, 02:00:00:00:00:00, -55
1521735716943, 64:f6:9d:48:ab:30, 02:00:00:00:00:00, -58
1521735716943, 64:f6:9d:48:ab:32, 02:00:00:00:00:00, -58
1521735716944, 64:f6:9d:48:ab:34, 02:00:00:00:00:00, -60
1521735716944, 64:f6:9d:37:a5:74, 02:00:00:00:00:00, -60
1521735716945, 64:f6:9d:37:a5:76, 02:00:00:00:00:00, -60
1521735716945, 64:f6:9d:48:ab:35, 02:00:00:00:00:00, -61
1521735716946, 64:f6:9d:37:a5:70, 02:00:00:00:00:00, -61
1521735716946, 64:f6:9d:37:a5:75, 02:00:00:00:00:00, -61
1521735716947, 64:f6:9d:37:a5:72, 02:00:00:00:00:00, -61
1521735716947, 64:f6:9d:36:82:15, 02:00:00:00:00:00, -63
1521735716948, 64:f6:9d:36:82:14, 02:00:00:00:00:00, -63
1521735716949, 64:f6:9d:36:82:10, 02:00:00:00:00:00, -64
1521735716949, 64:f6:9d:37:9d:e9, 02:00:00:00:00:00, -64
1521735716950, 64:f6:9d:37:9d:ed, 02:00:00:00:00:00, -65
1521735716950, 64:f6:9d:3a:94:04, 02:00:00:00:00:00, -66
1521735716951, 64:f6:9d:37:9d:ea, 02:00:00:00:00:00, -66
1521735716952, 64:f6:9d:37:9d:eb, 02:00:00:00:00:00, -66
1521735716953, 64:f6:9d:3a:94:00, 02:00:00:00:00:00, -67
1521735716953, 64:f6:9d:36:85:b0, 02:00:00:00:00:00, -67
1521735716954, 64:f6:9d:36:85:b5, 02:00:00:00:00:00, -67
1521735716954, 64:f6:9d:37:9d:ef, 02:00:00:00:00:00, -67
1521735716954, 64:f6:9d:37:9d:ec, 02:00:00:00:00:00, -67
1521735716955, 64:f6:9d:3a:94:05, 02:00:00:00:00:00, -67
1521735716955, 64:f6:9d:3a:94:02, 02:00:00:00:00:00, -67
1521735716955, 64:f6:9d:36:85:b4, 02:00:00:00:00:00, -68
1521735716956, 64:f6:9d:3a:94:06, 02:00:00:00:00:00, -68
1521735716956, 64:f6:9d:21:59:64, 02:00:00:00:00:00, -69
1521735716957, 64:f6:9d:21:59:65, 02:00:00:00:00:00, -69
1521735716957, 64:f6:9d:21:59:60, 02:00:00:00:00:00, -69
1521735716957, 64:f6:9d:3a:8a:b4, 02:00:00:00:00:00, -69
1521735716958, 64:f6:9d:21:59:63, 02:00:00:00:00:00, -69
1521735716958, 64:f6:9d:43:1b:b4, 02:00:00:00:00:00, -70
1521735716958, 64:f6:9d:43:1b:b5, 02:00:00:00:00:00, -70
1521735716959, 64:f6:9d:37:a7:15, 02:00:00:00:00:00, -70
1521735716959, 64:f6:9d:37:a7:13, 02:00:00:00:00:00, -70
1521735716959, 64:f6:9d:43:1b:b2, 02:00:00:00:00:00, -70
1521735716960, 64:f6:9d:3a:8a:b5, 02:00:00:00:00:00, -70
1521735716960, 64:f6:9d:37:a7:14, 02:00:00:00:00:00, -71
1521735716961, 64:f6:9d:37:a7:10, 02:00:00:00:00:00, -71
1521735716962, 64:f6:9d:37:a5:7f, 02:00:00:00:00:00, -72
1521735716962, 64:f6:9d:37:a5:7b, 02:00:00:00:00:00, -72
1521735716963, 64:f6:9d:43:20:d0, 02:00:00:00:00:00, -73
1521735716963, 64:f6:9d:43:20:d4, 02:00:00:00:00:00, -73
1521735716964, 64:f6:9d:37:a5:7d, 02:00:00:00:00:00, -73
1521735716964, 64:f6:9d:37:a5:79, 02:00:00:00:00:00, -73
1521735716965, 64:f6:9d:37:a5:7a, 02:00:00:00:00:00, -73
1521735716965, 64:f6:9d:37:a5:7c, 02:00:00:00:00:00, -73
1521735716965, 64:f6:9d:43:20:d5, 02:00:00:00:00:00, -73
1521735716966, 64:f6:9d:48:ab:3c, 02:00:00:00:00:00, -74
1521735716966, 64:f6:9d:48:ab:3f, 02:00:00:00:00:00, -74
1521735716967, 64:f6:9d:48:ab:3b, 02:00:00:00:00:00, -74
1521735716967, 64:f6:9d:48:ab:39, 02:00:00:00:00:00, -74
1521735716968, 64:f6:9d:48:ab:3a, 02:00:00:00:00:00, -75
1521735716968, 64:f6:9d:48:ab:3d, 02:00:00:00:00:00, -75
1521735716969, 64:f6:9d:43:22:95, 02:00:00:00:00:00, -76
1521735716969, 64:f6:9d:37:a9:96, 02:00:00:00:00:00, -77
1521735716970, 64:f6:9d:37:a9:95, 02:00:00:00:00:00, -77
1521735716970, 64:f6:9d:36:82:1b, 02:00:00:00:00:00, -77
1521735716971, 64:f6:9d:36:82:1f, 02:00:00:00:00:00, -77
1521735716972, 64:f6:9d:36:82:1a, 02:00:00:00:00:00, -77
1521735716972, 64:f6:9d:3a:94:0f, 02:00:00:00:00:00, -77
1521735716973, 64:f6:9d:3a:94:0b, 02:00:00:00:00:00, -77
