Timestamp, APAddress, DeviceAddress, WifiStrength(dBm) 
1521733646035, 64:f6:9d:43:20:d4, 02:00:00:00:00:00, -20
1521733646036, 64:f6:9d:43:20:d9, 02:00:00:00:00:00, -27
1521733646037, 64:f6:9d:43:20:df, 02:00:00:00:00:00, -27
1521733646038, 64:f6:9d:43:20:da, 02:00:00:00:00:00, -27
1521733646038, 64:f6:9d:43:20:dd, 02:00:00:00:00:00, -27
1521733646039, 64:f6:9d:43:20:db, 02:00:00:00:00:00, -28
1521733646040, 64:f6:9d:43:20:dc, 02:00:00:00:00:00, -28
1521733646040, 64:f6:9d:43:20:d0, 02:00:00:00:00:00, -32
1521733646041, 64:f6:9d:43:20:d5, 02:00:00:00:00:00, -32
1521733646041, 64:f6:9d:43:20:d3, 02:00:00:00:00:00, -32
1521733646042, 64:f6:9d:37:a9:95, 02:00:00:00:00:00, -52
1521733646042, 64:f6:9d:37:a9:90, 02:00:00:00:00:00, -52
1521733646043, 64:f6:9d:37:a9:92, 02:00:00:00:00:00, -52
1521733646044, 64:f6:9d:37:a9:96, 02:00:00:00:00:00, -52
1521733646045, 64:f6:9d:37:a9:94, 02:00:00:00:00:00, -53
1521733646046, 64:f6:9d:36:82:14, 02:00:00:00:00:00, -58
1521733646046, 64:f6:9d:36:82:10, 02:00:00:00:00:00, -59
1521733646048, 64:f6:9d:36:82:15, 02:00:00:00:00:00, -59
1521733646051, 64:f6:9d:3a:94:00, 02:00:00:00:00:00, -62
1521733646054, 64:f6:9d:3a:94:05, 02:00:00:00:00:00, -62
1521733646057, 64:f6:9d:3a:94:04, 02:00:00:00:00:00, -62
1521733646058, 64:f6:9d:37:a9:9f, 02:00:00:00:00:00, -65
1521733646060, 64:f6:9d:37:a9:9b, 02:00:00:00:00:00, -65
1521733646061, 64:f6:9d:37:a9:9a, 02:00:00:00:00:00, -65
1521733646062, 64:f6:9d:37:a9:9d, 02:00:00:00:00:00, -65
1521733646063, 64:f6:9d:43:1b:b0, 02:00:00:00:00:00, -66
1521733646064, 64:f6:9d:43:1b:b4, 02:00:00:00:00:00, -66
1521733646064, 64:f6:9d:43:1b:b5, 02:00:00:00:00:00, -66
1521733646065, 64:f6:9d:37:a9:99, 02:00:00:00:00:00, -66
1521733646066, 64:f6:9d:37:a9:9c, 02:00:00:00:00:00, -66
1521733646067, 64:f6:9d:37:a5:74, 02:00:00:00:00:00, -70
1521733646067, 64:f6:9d:36:82:1f, 02:00:00:00:00:00, -70
1521733646068, 64:f6:9d:36:82:1a, 02:00:00:00:00:00, -71
1521733646068, 64:f6:9d:36:82:1b, 02:00:00:00:00:00, -71
1521733646069, 64:f6:9d:37:a5:75, 02:00:00:00:00:00, -71
1521733646070, 64:f6:9d:37:a5:70, 02:00:00:00:00:00, -71
1521733646071, 64:f6:9d:37:a5:72, 02:00:00:00:00:00, -71
1521733646072, 64:f6:9d:36:82:1d, 02:00:00:00:00:00, -71
1521733646073, 64:f6:9d:37:a7:1f, 02:00:00:00:00:00, -72
1521733646074, 64:f6:9d:37:a7:1a, 02:00:00:00:00:00, -72
1521733646074, 64:f6:9d:3a:8f:f5, 02:00:00:00:00:00, -72
1521733646075, 64:f6:9d:43:1b:bf, 02:00:00:00:00:00, -72
1521733646076, 64:f6:9d:43:1b:bb, 02:00:00:00:00:00, -72
1521733646077, 64:f6:9d:37:a7:19, 02:00:00:00:00:00, -72
1521733646077, 64:f6:9d:36:85:b4, 02:00:00:00:00:00, -73
1521733646078, 64:f6:9d:37:a7:1b, 02:00:00:00:00:00, -73
1521733646079, 64:f6:9d:36:85:b5, 02:00:00:00:00:00, -73
1521733646081, 64:f6:9d:3a:8f:f4, 02:00:00:00:00:00, -73
1521733646084, 64:f6:9d:43:1b:b9, 02:00:00:00:00:00, -73
1521733646085, 64:f6:9d:43:1b:ba, 02:00:00:00:00:00, -73
1521733646086, 64:f6:9d:43:1b:bd, 02:00:00:00:00:00, -73
1521733646086, 64:f6:9d:3a:8f:f2, 02:00:00:00:00:00, -73
1521733646087, 64:f6:9d:36:85:b3, 02:00:00:00:00:00, -73
1521733646089, 64:f6:9d:3a:94:0f, 02:00:00:00:00:00, -74
1521733646089, 64:f6:9d:3a:94:0b, 02:00:00:00:00:00, -74
1521733646090, 64:f6:9d:3a:94:0a, 02:00:00:00:00:00, -74
1521733646091, 64:f6:9d:3a:94:0c, 02:00:00:00:00:00, -74
1521733646092, 64:f6:9d:37:a7:10, 02:00:00:00:00:00, -75
1521733646093, 64:f6:9d:43:1b:bc, 02:00:00:00:00:00, -75
1521733646094, 64:f6:9d:3a:8a:b4, 02:00:00:00:00:00, -75
1521733646095, 64:f6:9d:3a:8a:b6, 02:00:00:00:00:00, -75
1521733646096, 64:f6:9d:48:ab:34, 02:00:00:00:00:00, -76
1521733646097, 64:f6:9d:3a:94:0d, 02:00:00:00:00:00, -76
1521733646098, 64:f6:9d:3a:94:09, 02:00:00:00:00:00, -76
1521733646099, 64:f6:9d:48:ab:30, 02:00:00:00:00:00, -76
1521733646100, 64:f6:9d:48:ab:35, 02:00:00:00:00:00, -77
1521733646103, e8:65:49:a0:60:50, 02:00:00:00:00:00, -79
1521733646106, 64:f6:9d:48:ab:3a, 02:00:00:00:00:00, -80
1521733646107, 64:f6:9d:37:9d:e4, 02:00:00:00:00:00, -80
1521733646108, 64:f6:9d:37:9d:e0, 02:00:00:00:00:00, -80
1521733646109, 64:f6:9d:48:ab:3c, 02:00:00:00:00:00, -81
1521733646110, 64:f6:9d:48:ab:3f, 02:00:00:00:00:00, -81
1521733646111, 64:f6:9d:48:ab:3b, 02:00:00:00:00:00, -81
1521733646114, 64:f6:9d:3a:8f:fb, 02:00:00:00:00:00, -82
1521733646115, 64:f6:9d:3a:8f:ff, 02:00:00:00:00:00, -83
1521733646116, 64:f6:9d:3a:8f:f9, 02:00:00:00:00:00, -83
1521733646118, 64:f6:9d:3a:8f:fc, 02:00:00:00:00:00, -83
1521733646119, 64:f6:9d:37:a5:7a, 02:00:00:00:00:00, -84
1521733646120, 64:f6:9d:3a:8f:fa, 02:00:00:00:00:00, -84
1521733646120, 64:f6:9d:37:a5:7f, 02:00:00:00:00:00, -84
1521733646122, 64:f6:9d:37:a5:7d, 02:00:00:00:00:00, -84
1521733646123, 64:f6:9d:37:a5:79, 02:00:00:00:00:00, -84
1521733646124, 64:f6:9d:37:a5:7c, 02:00:00:00:00:00, -84
1521733646124, 64:f6:9d:37:a5:7b, 02:00:00:00:00:00, -85
1521733646125, e8:65:49:a0:60:5f, 02:00:00:00:00:00, -85
1521733646127, e8:65:49:a0:60:5a, 02:00:00:00:00:00, -85
1521733646128, e8:65:49:a0:60:5b, 02:00:00:00:00:00, -86
1521733646130, e8:65:49:a0:60:59, 02:00:00:00:00:00, -86
1521733646131, e8:65:49:a0:60:5c, 02:00:00:00:00:00, -86
1521733646135, e8:65:49:a0:60:5d, 02:00:00:00:00:00, -87
1521733646137, 64:f6:9d:21:59:6b, 02:00:00:00:00:00, -87
1521733646138, 64:f6:9d:21:59:6d, 02:00:00:00:00:00, -87
1521733646140, 64:f6:9d:21:59:6a, 02:00:00:00:00:00, -87
1521733646141, 64:f6:9d:21:59:6f, 02:00:00:00:00:00, -88
1521733646143, 64:f6:9d:36:85:b9, 02:00:00:00:00:00, -89
1521733646146, 64:f6:9d:37:9d:ef, 02:00:00:00:00:00, -89
1521733646147, 64:f6:9d:37:9d:ea, 02:00:00:00:00:00, -89
1521733646149, 64:f6:9d:36:85:bb, 02:00:00:00:00:00, -90
1521733646151, 64:f6:9d:36:85:ba, 02:00:00:00:00:00, -90
1521733646154, 64:f6:9d:37:9d:eb, 02:00:00:00:00:00, -90
1521733646156, 64:f6:9d:3a:8a:ba, 02:00:00:00:00:00, -90
1521733646159, 64:f6:9d:36:85:bd, 02:00:00:00:00:00, -91
1521733646163, 64:f6:9d:36:85:bc, 02:00:00:00:00:00, -91
1521733646165, 64:f6:9d:37:9d:ec, 02:00:00:00:00:00, -91
1521733646167, 64:f6:9d:36:85:bf, 02:00:00:00:00:00, -91
1521733646169, 64:f6:9d:37:9d:ed, 02:00:00:00:00:00, -92
1521733650364, 64:f6:9d:43:20:d4, 02:00:00:00:00:00, -20
1521733650364, 64:f6:9d:43:20:d0, 02:00:00:00:00:00, -20
1521733650365, 64:f6:9d:43:20:d5, 02:00:00:00:00:00, -20
1521733650366, 64:f6:9d:43:20:d6, 02:00:00:00:00:00, -20
1521733650366, 64:f6:9d:43:20:d9, 02:00:00:00:00:00, -33
1521733650367, 64:f6:9d:43:20:db, 02:00:00:00:00:00, -33
1521733650367, 64:f6:9d:43:20:da, 02:00:00:00:00:00, -33
1521733650368, 64:f6:9d:43:20:dc, 02:00:00:00:00:00, -33
1521733650369, 64:f6:9d:43:20:dd, 02:00:00:00:00:00, -33
1521733650370, 64:f6:9d:37:a9:95, 02:00:00:00:00:00, -51
1521733650371, 64:f6:9d:37:a9:90, 02:00:00:00:00:00, -51
1521733650371, 64:f6:9d:37:a9:94, 02:00:00:00:00:00, -51
1521733650372, 64:f6:9d:37:a9:96, 02:00:00:00:00:00, -51
1521733650373, 64:f6:9d:37:a9:92, 02:00:00:00:00:00, -52
1521733650374, 64:f6:9d:43:1b:b0, 02:00:00:00:00:00, -53
1521733650375, 64:f6:9d:43:1b:b4, 02:00:00:00:00:00, -53
1521733650376, 64:f6:9d:43:1b:b5, 02:00:00:00:00:00, -53
1521733650376, 64:f6:9d:36:82:14, 02:00:00:00:00:00, -54
1521733650377, 64:f6:9d:36:82:15, 02:00:00:00:00:00, -54
1521733650378, 64:f6:9d:36:82:13, 02:00:00:00:00:00, -54
1521733650379, 64:f6:9d:36:82:10, 02:00:00:00:00:00, -56
1521733650380, 64:f6:9d:3a:94:04, 02:00:00:00:00:00, -60
1521733650381, 64:f6:9d:3a:94:00, 02:00:00:00:00:00, -61
1521733650382, 64:f6:9d:3a:94:05, 02:00:00:00:00:00, -61
1521733650382, 64:f6:9d:3a:94:03, 02:00:00:00:00:00, -61
1521733650383, 64:f6:9d:37:a7:10, 02:00:00:00:00:00, -62
1521733650384, 64:f6:9d:37:a9:9f, 02:00:00:00:00:00, -62
1521733650384, 64:f6:9d:37:a9:9b, 02:00:00:00:00:00, -62
1521733650385, 64:f6:9d:37:a7:14, 02:00:00:00:00:00, -62
1521733650385, 64:f6:9d:37:a7:15, 02:00:00:00:00:00, -62
1521733650387, 64:f6:9d:37:a7:16, 02:00:00:00:00:00, -62
1521733650388, 64:f6:9d:37:a9:99, 02:00:00:00:00:00, -63
1521733650391, 64:f6:9d:37:a9:9a, 02:00:00:00:00:00, -63
1521733650393, 64:f6:9d:37:a9:9c, 02:00:00:00:00:00, -63
1521733650394, 64:f6:9d:37:a9:9d, 02:00:00:00:00:00, -63
1521733650394, 64:f6:9d:43:1b:bd, 02:00:00:00:00:00, -65
1521733650395, 64:f6:9d:43:1b:ba, 02:00:00:00:00:00, -66
1521733650396, 64:f6:9d:43:1b:bc, 02:00:00:00:00:00, -66
1521733650397, 64:f6:9d:43:1b:bf, 02:00:00:00:00:00, -66
1521733650400, 64:f6:9d:43:1b:bb, 02:00:00:00:00:00, -66
1521733650404, 64:f6:9d:48:ab:30, 02:00:00:00:00:00, -66
1521733650405, 64:f6:9d:37:a5:74, 02:00:00:00:00:00, -67
1521733650406, 64:f6:9d:48:ab:34, 02:00:00:00:00:00, -67
1521733650407, 64:f6:9d:48:ab:35, 02:00:00:00:00:00, -67
1521733650409, 64:f6:9d:37:a5:75, 02:00:00:00:00:00, -67
1521733650410, 64:f6:9d:37:a5:70, 02:00:00:00:00:00, -67
1521733650411, 64:f6:9d:43:1b:b9, 02:00:00:00:00:00, -67
1521733650412, 64:f6:9d:48:ab:33, 02:00:00:00:00:00, -67
1521733650414, 64:f6:9d:36:85:b4, 02:00:00:00:00:00, -71
1521733650417, 64:f6:9d:36:82:1a, 02:00:00:00:00:00, -71
1521733650419, 64:f6:9d:36:85:b5, 02:00:00:00:00:00, -71
1521733650420, 64:f6:9d:3a:8f:f4, 02:00:00:00:00:00, -71
1521733650421, 64:f6:9d:36:85:b2, 02:00:00:00:00:00, -71
1521733650422, 64:f6:9d:36:85:b6, 02:00:00:00:00:00, -71
1521733650423, 64:f6:9d:36:82:1b, 02:00:00:00:00:00, -72
1521733650425, 64:f6:9d:36:82:1f, 02:00:00:00:00:00, -72
1521733650425, 64:f6:9d:3a:8f:f5, 02:00:00:00:00:00, -72
1521733650426, 64:f6:9d:36:82:1d, 02:00:00:00:00:00, -72
1521733650427, 64:f6:9d:3a:8f:f0, 02:00:00:00:00:00, -72
