Timestamp, APAddress, DeviceAddress, WifiStrength(dBm) 
1521733958045, 64:f6:9d:36:82:15, 02:00:00:00:00:00, -30
1521733958047, 64:f6:9d:36:82:10, 02:00:00:00:00:00, -30
1521733958048, 64:f6:9d:36:82:14, 02:00:00:00:00:00, -30
1521733958048, 64:f6:9d:36:82:13, 02:00:00:00:00:00, -30
1521733958051, 64:f6:9d:36:82:1f, 02:00:00:00:00:00, -39
1521733958053, 64:f6:9d:36:82:1b, 02:00:00:00:00:00, -39
1521733958056, 64:f6:9d:36:82:1a, 02:00:00:00:00:00, -39
1521733958057, 64:f6:9d:36:82:1d, 02:00:00:00:00:00, -40
1521733958058, 64:f6:9d:43:1b:b0, 02:00:00:00:00:00, -45
1521733958058, 64:f6:9d:43:1b:b4, 02:00:00:00:00:00, -45
1521733958059, 64:f6:9d:43:1b:b5, 02:00:00:00:00:00, -45
1521733958060, 64:f6:9d:48:ab:34, 02:00:00:00:00:00, -54
1521733958061, 64:f6:9d:43:20:d4, 02:00:00:00:00:00, -56
1521733958061, 64:f6:9d:3a:94:04, 02:00:00:00:00:00, -56
1521733958062, 64:f6:9d:43:20:d5, 02:00:00:00:00:00, -56
1521733958062, 64:f6:9d:43:20:d0, 02:00:00:00:00:00, -56
1521733958063, 64:f6:9d:43:20:d2, 02:00:00:00:00:00, -56
1521733958063, 64:f6:9d:3a:94:05, 02:00:00:00:00:00, -57
1521733958064, 64:f6:9d:3a:94:00, 02:00:00:00:00:00, -57
1521733958065, 64:f6:9d:3a:94:02, 02:00:00:00:00:00, -57
1521733958066, 64:f6:9d:3a:94:06, 02:00:00:00:00:00, -57
1521733958067, 64:f6:9d:48:ab:30, 02:00:00:00:00:00, -58
1521733958068, 64:f6:9d:37:a9:94, 02:00:00:00:00:00, -59
1521733958069, 64:f6:9d:48:ab:35, 02:00:00:00:00:00, -59
1521733958070, 64:f6:9d:37:a9:90, 02:00:00:00:00:00, -59
1521733958071, 64:f6:9d:37:a9:95, 02:00:00:00:00:00, -59
1521733958072, 64:f6:9d:37:a7:1b, 02:00:00:00:00:00, -59
1521733958073, 64:f6:9d:37:a7:14, 02:00:00:00:00:00, -61
1521733958074, 64:f6:9d:37:a7:15, 02:00:00:00:00:00, -61
1521733958075, 64:f6:9d:37:a7:13, 02:00:00:00:00:00, -61
1521733958076, 64:f6:9d:37:a5:70, 02:00:00:00:00:00, -64
1521733958077, 64:f6:9d:37:a5:74, 02:00:00:00:00:00, -64
1521733958078, 64:f6:9d:37:a5:75, 02:00:00:00:00:00, -64
1521733958080, 64:f6:9d:37:a7:1f, 02:00:00:00:00:00, -64
1521733958081, 64:f6:9d:37:a5:73, 02:00:00:00:00:00, -64
