Timestamp, APAddress, DeviceAddress, WifiStrength(dBm) 
1521734202769, 64:f6:9d:37:a7:10, 02:00:00:00:00:00, -31
1521734202771, 64:f6:9d:37:a7:14, 02:00:00:00:00:00, -32
1521734202775, 64:f6:9d:37:a7:15, 02:00:00:00:00:00, -32
1521734202778, 64:f6:9d:37:a7:1b, 02:00:00:00:00:00, -35
1521734202780, 64:f6:9d:37:a7:1a, 02:00:00:00:00:00, -36
1521734202783, 64:f6:9d:37:a7:1f, 02:00:00:00:00:00, -36
1521734202784, 64:f6:9d:3a:94:04, 02:00:00:00:00:00, -46
1521734202784, 64:f6:9d:3a:94:05, 02:00:00:00:00:00, -46
1521734202785, 64:f6:9d:3a:94:00, 02:00:00:00:00:00, -46
1521734202786, 64:f6:9d:3a:94:03, 02:00:00:00:00:00, -46
1521734202786, 64:f6:9d:36:82:10, 02:00:00:00:00:00, -55
1521734202787, 64:f6:9d:3a:94:0d, 02:00:00:00:00:00, -55
1521734202787, 64:f6:9d:36:82:15, 02:00:00:00:00:00, -56
1521734202787, 64:f6:9d:36:82:13, 02:00:00:00:00:00, -56
1521734202788, 64:f6:9d:36:82:14, 02:00:00:00:00:00, -58
1521734202788, 64:f6:9d:43:1b:b0, 02:00:00:00:00:00, -59
1521734202789, 64:f6:9d:43:1b:b4, 02:00:00:00:00:00, -59
1521734202790, 64:f6:9d:43:1b:b6, 02:00:00:00:00:00, -59
1521734202791, 64:f6:9d:48:ab:34, 02:00:00:00:00:00, -60
1521734202792, 64:f6:9d:43:1b:b5, 02:00:00:00:00:00, -60
1521734202792, 64:f6:9d:48:ab:35, 02:00:00:00:00:00, -60
1521734202793, 64:f6:9d:3a:94:0f, 02:00:00:00:00:00, -61
1521734202793, 64:f6:9d:48:ab:30, 02:00:00:00:00:00, -61
1521734202794, 64:f6:9d:48:ab:32, 02:00:00:00:00:00, -61
1521734202794, 64:f6:9d:48:ab:36, 02:00:00:00:00:00, -61
1521734202795, 64:f6:9d:3a:94:0b, 02:00:00:00:00:00, -62
1521734202795, 64:f6:9d:3a:94:0a, 02:00:00:00:00:00, -62
1521734202796, 64:f6:9d:36:82:1f, 02:00:00:00:00:00, -64
1521734202796, 64:f6:9d:36:82:1b, 02:00:00:00:00:00, -64
1521734202797, 64:f6:9d:36:82:1a, 02:00:00:00:00:00, -64
1521734202797, 64:f6:9d:36:82:1d, 02:00:00:00:00:00, -64
1521734202798, 64:f6:9d:43:20:d5, 02:00:00:00:00:00, -65
1521734202799, 64:f6:9d:43:20:d0, 02:00:00:00:00:00, -65
1521734202799, 64:f6:9d:3a:8f:f4, 02:00:00:00:00:00, -66
1521734202800, 64:f6:9d:43:20:d6, 02:00:00:00:00:00, -66
1521734202800, 64:f6:9d:3a:8f:f5, 02:00:00:00:00:00, -67
1521734202801, 64:f6:9d:3a:8f:f0, 02:00:00:00:00:00, -67
1521734202802, 64:f6:9d:3a:8f:f2, 02:00:00:00:00:00, -67
1521734202802, 64:f6:9d:37:a5:70, 02:00:00:00:00:00, -68
1521734202803, 64:f6:9d:37:a5:74, 02:00:00:00:00:00, -68
1521734202803, 64:f6:9d:37:a9:94, 02:00:00:00:00:00, -68
1521734202804, 64:f6:9d:37:a5:75, 02:00:00:00:00:00, -68
1521734202804, 64:f6:9d:37:a9:95, 02:00:00:00:00:00, -68
1521734202805, 64:f6:9d:37:a5:73, 02:00:00:00:00:00, -68
