Timestamp, APAddress, DeviceAddress, WifiStrength(dBm) 
1521732870567, 64:f6:9d:48:ab:30, 02:00:00:00:00:00, -30
1521732870569, 64:f6:9d:48:ab:34, 02:00:00:00:00:00, -30
1521732870571, 64:f6:9d:48:ab:32, 02:00:00:00:00:00, -31
1521732870574, 64:f6:9d:48:ab:3b, 02:00:00:00:00:00, -43
1521732870575, 64:f6:9d:48:ab:3f, 02:00:00:00:00:00, -43
1521732870576, 64:f6:9d:48:ab:3a, 02:00:00:00:00:00, -43
1521732870576, 64:f6:9d:48:ab:35, 02:00:00:00:00:00, -51
1521732870577, 64:f6:9d:37:a7:14, 02:00:00:00:00:00, -56
1521732870578, 64:f6:9d:37:a7:15, 02:00:00:00:00:00, -56
1521732870578, 64:f6:9d:37:a7:13, 02:00:00:00:00:00, -56
1521732870579, 64:f6:9d:37:a7:10, 02:00:00:00:00:00, -57
1521732870579, 64:f6:9d:43:1b:94, 02:00:00:00:00:00, -57
1521732870579, 64:f6:9d:43:1b:95, 02:00:00:00:00:00, -58
1521732870580, 64:f6:9d:43:1b:93, 02:00:00:00:00:00, -58
1521732870580, 64:f6:9d:3a:8f:f5, 02:00:00:00:00:00, -59
1521732870581, 64:f6:9d:43:1b:90, 02:00:00:00:00:00, -60
1521732870581, 64:f6:9d:43:1b:b4, 02:00:00:00:00:00, -61
1521732870582, 64:f6:9d:43:1b:b5, 02:00:00:00:00:00, -61
1521732870582, 64:f6:9d:37:9d:e0, 02:00:00:00:00:00, -61
1521732870583, 64:f6:9d:36:82:10, 02:00:00:00:00:00, -61
1521732870583, 64:f6:9d:3a:8a:b2, 02:00:00:00:00:00, -61
1521732870584, 64:f6:9d:3a:8a:b0, 02:00:00:00:00:00, -61
1521732870584, 64:f6:9d:43:1b:b2, 02:00:00:00:00:00, -61
1521732870584, 64:f6:9d:43:1b:b0, 02:00:00:00:00:00, -61
1521732870585, 64:f6:9d:3a:8a:b4, 02:00:00:00:00:00, -61
1521732870585, 64:f6:9d:3a:8a:b6, 02:00:00:00:00:00, -61
1521732870586, 64:f6:9d:37:9d:e4, 02:00:00:00:00:00, -62
1521732870586, 64:f6:9d:37:9d:e5, 02:00:00:00:00:00, -62
1521732870586, 64:f6:9d:36:82:14, 02:00:00:00:00:00, -62
1521732870587, 64:f6:9d:36:82:15, 02:00:00:00:00:00, -62
1521732870587, 64:f6:9d:36:82:13, 02:00:00:00:00:00, -62
1521732870588, 64:f6:9d:36:82:1f, 02:00:00:00:00:00, -62
1521732870588, 64:f6:9d:36:82:1b, 02:00:00:00:00:00, -62
1521732870589, 64:f6:9d:36:82:19, 02:00:00:00:00:00, -62
1521732870589, 64:f6:9d:3a:8f:f4, 02:00:00:00:00:00, -63
1521732870590, 64:f6:9d:43:20:d5, 02:00:00:00:00:00, -63
