Timestamp, APAddress, DeviceAddress, WifiStrength(dBm) 
1521734289592, 64:f6:9d:3a:8a:b4, 02:00:00:00:00:00, -29
1521734289595, 64:f6:9d:3a:8a:b0, 02:00:00:00:00:00, -29
1521734289597, 64:f6:9d:3a:8a:b5, 02:00:00:00:00:00, -30
1521734289600, 64:f6:9d:3a:8a:bb, 02:00:00:00:00:00, -42
1521734289601, 64:f6:9d:3a:8a:ba, 02:00:00:00:00:00, -42
1521734289602, 64:f6:9d:3a:8a:bf, 02:00:00:00:00:00, -42
1521734289603, 64:f6:9d:43:22:95, 02:00:00:00:00:00, -51
1521734289604, 64:f6:9d:43:22:94, 02:00:00:00:00:00, -53
1521734289604, 64:f6:9d:48:ab:35, 02:00:00:00:00:00, -54
1521734289605, 64:f6:9d:43:22:90, 02:00:00:00:00:00, -54
1521734289610, 64:f6:9d:48:ab:33, 02:00:00:00:00:00, -54
1521734289614, 64:f6:9d:48:ab:30, 02:00:00:00:00:00, -55
1521734289615, 64:f6:9d:43:22:93, 02:00:00:00:00:00, -55
1521734289617, 64:f6:9d:43:1b:96, 02:00:00:00:00:00, -55
1521734289618, 64:f6:9d:43:1b:95, 02:00:00:00:00:00, -56
1521734289618, 64:f6:9d:48:ab:34, 02:00:00:00:00:00, -56
1521734289622, 64:f6:9d:43:1b:94, 02:00:00:00:00:00, -56
1521734289622, 64:f6:9d:3a:8f:55, 02:00:00:00:00:00, -56
1521734289624, 64:f6:9d:3a:8f:50, 02:00:00:00:00:00, -56
1521734289625, 64:f6:9d:3a:8f:54, 02:00:00:00:00:00, -56
1521734289626, 64:f6:9d:43:1b:92, 02:00:00:00:00:00, -56
1521734289627, 64:f6:9d:43:22:9f, 02:00:00:00:00:00, -64
1521734289628, 64:f6:9d:43:22:9c, 02:00:00:00:00:00, -64
1521734289630, 64:f6:9d:43:22:9b, 02:00:00:00:00:00, -64
1521734289631, 64:f6:9d:43:22:9a, 02:00:00:00:00:00, -64
1521734289632, 64:f6:9d:43:22:15, 02:00:00:00:00:00, -65
1521734289633, 64:f6:9d:43:22:9d, 02:00:00:00:00:00, -65
1521734289634, 64:f6:9d:43:22:99, 02:00:00:00:00:00, -65
1521734289635, 64:f6:9d:43:22:14, 02:00:00:00:00:00, -66
1521734289637, 64:f6:9d:43:1b:9f, 02:00:00:00:00:00, -67
1521734289638, 64:f6:9d:3a:95:14, 02:00:00:00:00:00, -67
1521734289639, 64:f6:9d:3a:95:15, 02:00:00:00:00:00, -67
1521734289640, 64:f6:9d:37:a7:16, 02:00:00:00:00:00, -68
1521734289641, 64:f6:9d:3a:8f:5b, 02:00:00:00:00:00, -68
1521734289642, 64:f6:9d:3a:8f:5f, 02:00:00:00:00:00, -68
1521734289643, 64:f6:9d:43:22:13, 02:00:00:00:00:00, -68
1521734289644, 64:f6:9d:37:a7:13, 02:00:00:00:00:00, -68
1521734289646, 64:f6:9d:3a:8f:5a, 02:00:00:00:00:00, -69
1521734289647, 64:f6:9d:43:1b:9a, 02:00:00:00:00:00, -69
1521734289649, 64:f6:9d:43:1b:9b, 02:00:00:00:00:00, -69
1521734289651, 64:f6:9d:43:1b:99, 02:00:00:00:00:00, -69
1521734289652, 64:f6:9d:43:1b:9c, 02:00:00:00:00:00, -69
1521734289653, 64:f6:9d:3a:8f:5c, 02:00:00:00:00:00, -69
1521734289654, 64:f6:9d:3a:8f:59, 02:00:00:00:00:00, -69
1521734289655, 64:f6:9d:37:9d:e5, 02:00:00:00:00:00, -69
1521734289656, 64:f6:9d:3a:95:10, 02:00:00:00:00:00, -69
1521734289658, 64:f6:9d:3a:94:00, 02:00:00:00:00:00, -69
1521734289659, 64:f6:9d:3a:94:05, 02:00:00:00:00:00, -69
