Timestamp, APAddress, DeviceAddress, WifiStrength(dBm) 
1521732109309, 64:f6:9d:21:59:64, 02:00:00:00:00:00, -20
1521732109310, 64:f6:9d:21:59:60, 02:00:00:00:00:00, -21
1521732109311, 64:f6:9d:21:59:65, 02:00:00:00:00:00, -21
1521732109312, 64:f6:9d:21:59:6a, 02:00:00:00:00:00, -27
1521732109313, 64:f6:9d:21:59:6c, 02:00:00:00:00:00, -28
1521732109313, 64:f6:9d:36:85:b0, 02:00:00:00:00:00, -53
1521732109315, 64:f6:9d:36:85:b4, 02:00:00:00:00:00, -53
1521732109316, 64:f6:9d:36:85:b5, 02:00:00:00:00:00, -53
1521732109317, 64:f6:9d:36:85:b3, 02:00:00:00:00:00, -53
1521732109317, 64:f6:9d:37:a5:70, 02:00:00:00:00:00, -56
1521732109318, 64:f6:9d:37:a5:74, 02:00:00:00:00:00, -56
1521732109318, 64:f6:9d:37:a5:75, 02:00:00:00:00:00, -56
1521732109319, 64:f6:9d:37:a5:72, 02:00:00:00:00:00, -56
1521732109319, 64:f6:9d:3a:8f:f0, 02:00:00:00:00:00, -63
1521732109320, 64:f6:9d:3a:8f:f4, 02:00:00:00:00:00, -63
1521732109320, 64:f6:9d:3a:8f:f5, 02:00:00:00:00:00, -63
1521732109320, 64:f6:9d:36:85:bd, 02:00:00:00:00:00, -63
1521732109321, 64:f6:9d:36:85:bf, 02:00:00:00:00:00, -64
1521732109321, 64:f6:9d:36:85:ba, 02:00:00:00:00:00, -64
1521732109322, 64:f6:9d:3a:8f:f2, 02:00:00:00:00:00, -64
1521732109322, 64:f6:9d:36:85:bc, 02:00:00:00:00:00, -64
1521732109323, 64:f6:9d:36:85:bb, 02:00:00:00:00:00, -65
1521732109323, 64:f6:9d:36:85:b9, 02:00:00:00:00:00, -65
1521732109324, 64:f6:9d:48:ab:30, 02:00:00:00:00:00, -67
1521732109324, 64:f6:9d:37:a5:7b, 02:00:00:00:00:00, -68
1521732109324, 64:f6:9d:37:a5:7f, 02:00:00:00:00:00, -68
1521732109325, 64:f6:9d:37:a5:7a, 02:00:00:00:00:00, -68
1521732109325, 64:f6:9d:37:a5:7c, 02:00:00:00:00:00, -68
1521732109326, 64:f6:9d:37:a5:7d, 02:00:00:00:00:00, -68
