Timestamp, APAddress, DeviceAddress, WifiStrength(dBm) 
1521734058814, 64:f6:9d:37:a5:70, 02:00:00:00:00:00, -25
1521734058815, 64:f6:9d:37:a5:74, 02:00:00:00:00:00, -25
1521734058818, 64:f6:9d:37:a5:75, 02:00:00:00:00:00, -25
1521734058820, 64:f6:9d:37:a5:73, 02:00:00:00:00:00, -25
1521734058821, 64:f6:9d:37:a5:7f, 02:00:00:00:00:00, -32
1521734058822, 64:f6:9d:37:a5:7b, 02:00:00:00:00:00, -32
1521734058823, 64:f6:9d:37:a5:7a, 02:00:00:00:00:00, -32
1521734058823, 64:f6:9d:37:a5:79, 02:00:00:00:00:00, -32
1521734058823, 64:f6:9d:37:a5:7c, 02:00:00:00:00:00, -32
1521734058824, 64:f6:9d:37:a5:7d, 02:00:00:00:00:00, -33
1521734058824, 64:f6:9d:3a:8f:f4, 02:00:00:00:00:00, -51
1521734058825, 64:f6:9d:3a:8f:f5, 02:00:00:00:00:00, -51
1521734058825, 64:f6:9d:3a:8f:f0, 02:00:00:00:00:00, -51
1521734058826, 64:f6:9d:36:85:b5, 02:00:00:00:00:00, -54
1521734058826, 64:f6:9d:36:85:b0, 02:00:00:00:00:00, -54
1521734058826, 64:f6:9d:36:85:b4, 02:00:00:00:00:00, -54
1521734058827, 64:f6:9d:36:85:b6, 02:00:00:00:00:00, -54
1521734058827, 64:f6:9d:21:59:64, 02:00:00:00:00:00, -58
1521734058828, 64:f6:9d:21:59:62, 02:00:00:00:00:00, -58
1521734058828, 64:f6:9d:21:59:65, 02:00:00:00:00:00, -59
1521734058828, 64:f6:9d:21:59:60, 02:00:00:00:00:00, -59
1521734058829, 64:f6:9d:48:ab:35, 02:00:00:00:00:00, -60
1521734058829, 64:f6:9d:48:ab:30, 02:00:00:00:00:00, -60
1521734058830, 64:f6:9d:48:ab:32, 02:00:00:00:00:00, -60
1521734058830, 64:f6:9d:48:ab:36, 02:00:00:00:00:00, -60
1521734058831, 64:f6:9d:48:ab:34, 02:00:00:00:00:00, -61
1521734058832, 64:f6:9d:37:9d:e5, 02:00:00:00:00:00, -61
1521734058833, 64:f6:9d:37:9d:e2, 02:00:00:00:00:00, -61
1521734058834, 64:f6:9d:37:9d:e6, 02:00:00:00:00:00, -61
1521734058835, 64:f6:9d:37:9d:e4, 02:00:00:00:00:00, -62
1521734058837, 64:f6:9d:37:9d:e0, 02:00:00:00:00:00, -62
1521734058840, 64:f6:9d:36:82:15, 02:00:00:00:00:00, -63
1521734058841, 64:f6:9d:36:82:10, 02:00:00:00:00:00, -63
1521734058842, 64:f6:9d:36:82:14, 02:00:00:00:00:00, -63
1521734058843, 64:f6:9d:36:82:16, 02:00:00:00:00:00, -63
1521734058843, 64:f6:9d:43:1b:b4, 02:00:00:00:00:00, -67
1521734058844, 64:f6:9d:43:1b:b5, 02:00:00:00:00:00, -67
1521734058845, 64:f6:9d:43:20:d5, 02:00:00:00:00:00, -67
1521734058846, 64:f6:9d:3a:8f:fb, 02:00:00:00:00:00, -67
1521734058846, 64:f6:9d:3a:8f:fa, 02:00:00:00:00:00, -67
1521734058847, 64:f6:9d:3a:8f:fc, 02:00:00:00:00:00, -67
1521734058847, 64:f6:9d:3a:8f:ff, 02:00:00:00:00:00, -67
1521734058848, 64:f6:9d:3a:8f:fd, 02:00:00:00:00:00, -67
1521734058849, 64:f6:9d:43:1b:b3, 02:00:00:00:00:00, -67
