Timestamp, APAddress, DeviceAddress, WifiStrength(dBm) 
1521735843168, 64:f6:9d:37:9d:e4, 02:00:00:00:00:00, -26
1521735843169, 64:f6:9d:37:9d:e5, 02:00:00:00:00:00, -26
1521735843171, 64:f6:9d:37:9d:e0, 02:00:00:00:00:00, -26
1521735843172, 64:f6:9d:37:9d:ef, 02:00:00:00:00:00, -39
1521735843174, 64:f6:9d:37:9d:ea, 02:00:00:00:00:00, -40
1521735843176, 64:f6:9d:37:9d:eb, 02:00:00:00:00:00, -40
1521735843176, 64:f6:9d:37:9d:e9, 02:00:00:00:00:00, -40
1521735843177, 64:f6:9d:3a:8f:f4, 02:00:00:00:00:00, -48
1521735843178, 64:f6:9d:3a:8f:f0, 02:00:00:00:00:00, -48
1521735843179, 64:f6:9d:3a:8f:f5, 02:00:00:00:00:00, -49
1521735843179, 64:f6:9d:3a:8f:f6, 02:00:00:00:00:00, -49
1521735843180, 64:f6:9d:37:a5:74, 02:00:00:00:00:00, -54
1521735843180, 64:f6:9d:37:a5:70, 02:00:00:00:00:00, -54
1521735843181, 64:f6:9d:37:a5:72, 02:00:00:00:00:00, -54
1521735843181, 64:f6:9d:37:a5:75, 02:00:00:00:00:00, -55
1521735843181, 64:f6:9d:37:a5:76, 02:00:00:00:00:00, -55
1521735843182, 64:f6:9d:48:ab:34, 02:00:00:00:00:00, -58
1521735843182, 64:f6:9d:48:ab:35, 02:00:00:00:00:00, -58
1521735843183, 64:f6:9d:48:ab:30, 02:00:00:00:00:00, -58
1521735843183, 64:f6:9d:48:ab:32, 02:00:00:00:00:00, -58
1521735843184, 64:f6:9d:3a:8f:fa, 02:00:00:00:00:00, -60
1521735843184, 64:f6:9d:3a:8f:ff, 02:00:00:00:00:00, -60
1521735843185, 64:f6:9d:3a:8f:fb, 02:00:00:00:00:00, -60
1521735843185, 64:f6:9d:3a:8f:fd, 02:00:00:00:00:00, -60
1521735843186, 64:f6:9d:3a:8f:f9, 02:00:00:00:00:00, -60
1521735843186, 64:f6:9d:36:85:b0, 02:00:00:00:00:00, -61
1521735843187, 64:f6:9d:36:85:b4, 02:00:00:00:00:00, -61
1521735843187, 64:f6:9d:36:85:b5, 02:00:00:00:00:00, -61
1521735843187, 64:f6:9d:36:85:b3, 02:00:00:00:00:00, -61
1521735843188, 64:f6:9d:21:59:64, 02:00:00:00:00:00, -64
1521735843188, 64:f6:9d:21:59:65, 02:00:00:00:00:00, -64
1521735843189, 64:f6:9d:21:59:63, 02:00:00:00:00:00, -65
1521735843189, 64:f6:9d:36:82:14, 02:00:00:00:00:00, -67
1521735843190, 64:f6:9d:36:82:15, 02:00:00:00:00:00, -68
1521735843190, 64:f6:9d:36:82:10, 02:00:00:00:00:00, -68
1521735843191, 64:f6:9d:37:a5:7b, 02:00:00:00:00:00, -68
1521735843192, 64:f6:9d:37:a7:15, 02:00:00:00:00:00, -69
1521735843193, 64:f6:9d:37:a7:14, 02:00:00:00:00:00, -69
1521735843194, 64:f6:9d:37:a7:10, 02:00:00:00:00:00, -69
1521735843196, 64:f6:9d:3a:8a:b4, 02:00:00:00:00:00, -69
1521735843197, 64:f6:9d:37:a5:79, 02:00:00:00:00:00, -69
1521735843197, 64:f6:9d:37:a5:7f, 02:00:00:00:00:00, -69
1521735843198, 64:f6:9d:37:a5:7a, 02:00:00:00:00:00, -69
1521735843199, 64:f6:9d:37:a5:7c, 02:00:00:00:00:00, -69
1521735843199, 64:f6:9d:37:a7:13, 02:00:00:00:00:00, -69
1521735843200, 64:f6:9d:3a:8a:b6, 02:00:00:00:00:00, -69
1521735843201, 64:f6:9d:36:82:12, 02:00:00:00:00:00, -69
1521735843202, 64:f6:9d:37:a5:7d, 02:00:00:00:00:00, -70
1521735843203, 64:f6:9d:3a:8a:b0, 02:00:00:00:00:00, -70
1521735843203, 64:f6:9d:43:1b:b4, 02:00:00:00:00:00, -71
1521735843204, 64:f6:9d:37:a9:94, 02:00:00:00:00:00, -71
1521735843204, 64:f6:9d:3a:94:00, 02:00:00:00:00:00, -71
1521735843205, 64:f6:9d:3a:94:04, 02:00:00:00:00:00, -71
1521735843205, 64:f6:9d:43:1b:b5, 02:00:00:00:00:00, -72
1521735843206, 64:f6:9d:43:1b:b2, 02:00:00:00:00:00, -72
1521735843207, 64:f6:9d:3a:94:05, 02:00:00:00:00:00, -72
1521735843208, 64:f6:9d:37:a9:95, 02:00:00:00:00:00, -73
1521735843209, 64:f6:9d:37:a9:90, 02:00:00:00:00:00, -73
1521735843210, 64:f6:9d:48:ab:3f, 02:00:00:00:00:00, -74
1521735843211, 64:f6:9d:48:ab:3b, 02:00:00:00:00:00, -74
1521735843212, 64:f6:9d:48:ab:3a, 02:00:00:00:00:00, -74
1521735843212, 64:f6:9d:48:ab:39, 02:00:00:00:00:00, -74
1521735843213, 64:f6:9d:48:ab:3c, 02:00:00:00:00:00, -74
1521735843213, 64:f6:9d:48:ab:3d, 02:00:00:00:00:00, -74
1521735843214, 64:f6:9d:37:a9:93, 02:00:00:00:00:00, -74
1521735843215, 64:f6:9d:43:22:94, 02:00:00:00:00:00, -75
1521735843215, 64:f6:9d:43:22:95, 02:00:00:00:00:00, -75
1521735843216, 64:f6:9d:36:82:1f, 02:00:00:00:00:00, -75
1521735843216, 64:f6:9d:43:20:d5, 02:00:00:00:00:00, -75
1521735843217, 64:f6:9d:43:22:93, 02:00:00:00:00:00, -75
1521735843218, 64:f6:9d:43:1b:90, 02:00:00:00:00:00, -76
1521735843219, 64:f6:9d:43:1b:94, 02:00:00:00:00:00, -76
1521735843219, 64:f6:9d:43:20:d0, 02:00:00:00:00:00, -76
1521735843220, 64:f6:9d:36:82:1b, 02:00:00:00:00:00, -76
1521735843221, 64:f6:9d:43:1b:92, 02:00:00:00:00:00, -76
1521735843222, 64:f6:9d:43:20:d3, 02:00:00:00:00:00, -76
1521735843223, 64:f6:9d:43:1b:95, 02:00:00:00:00:00, -77
1521735843223, 64:f6:9d:36:82:1a, 02:00:00:00:00:00, -77
1521735843224, 64:f6:9d:3a:94:0f, 02:00:00:00:00:00, -78
1521735843225, 64:f6:9d:3a:94:0b, 02:00:00:00:00:00, -78
1521735843226, 64:f6:9d:36:82:19, 02:00:00:00:00:00, -78
1521735843226, 64:f6:9d:3a:94:0a, 02:00:00:00:00:00, -79
1521735843227, 64:f6:9d:3a:94:0d, 02:00:00:00:00:00, -79
1521735843228, 64:f6:9d:3a:94:09, 02:00:00:00:00:00, -79
1521735843229, 64:f6:9d:43:22:12, 02:00:00:00:00:00, -80
1521735843230, 64:f6:9d:43:22:15, 02:00:00:00:00:00, -80
1521735843231, 64:f6:9d:21:59:6b, 02:00:00:00:00:00, -81
1521735843232, 64:f6:9d:3a:8a:ba, 02:00:00:00:00:00, -81
1521735843232, 64:f6:9d:3a:8a:bf, 02:00:00:00:00:00, -81
1521735843233, 64:f6:9d:43:20:df, 02:00:00:00:00:00, -81
1521735843234, 64:f6:9d:36:85:bb, 02:00:00:00:00:00, -81
1521735843235, 64:f6:9d:36:85:bd, 02:00:00:00:00:00, -81
